,australia,austria,belgium-luxembourg,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa,yugoslavia
australia,0.0,2671173.0,4734697.0,138611316.0,4747740.0,6019284.0,10118366.0,36360016.0,14080022.0,549673.0,5910521.0,429579.0,11297060.0,475824466.0,10140860.0,15045258.0,790793.0,3219123.0,13734154.0,3196885.0,706143.0,344137138.0,519237003.0,4396512.0
austria,4510395.0,0.0,3045319.0,2305794.0,12832048.0,1451756.0,11105916.0,67146540.0,6566587.0,143238.0,573270.0,6591821.0,151442488.0,3558558.0,12352575.0,4369044.0,2625307.0,6728197.0,7471642.0,26914995.0,12109909.0,17108443.0,32494969.0,11983930.0
belgium-luxembourg,5802960.0,3418088.0,0.0,23687885.0,18584456.0,6920239.0,861013856.0,547125088.0,9614902.0,918797.0,25396711.0,15608503.0,120845360.0,12445566.0,656300064.0,10325532.0,5757629.0,37811682.0,4059230.0,20382519.0,9330899.0,69007246.0,97739820.0,4524689.0
canada,134497625.0,1425642.0,27811297.0,0.0,13652766.0,2938730.0,28357436.0,35061331.0,3947168.0,155602.0,7512990.0,9698573.0,93864692.0,237390964.0,53884327.0,5231996.0,11132715.0,13300200.0,9326250.0,14514796.0,1406341.0,261039652.0,1172680512.0,633474.0
denmark,7029675.0,11829480.0,16953120.0,17751884.0,0.0,10316137.0,29566027.0,191006876.0,2809328.0,14971938.0,597448.0,6830291.0,105439550.0,9695371.0,35502205.0,50572465.0,12018075.0,33397713.0,143565620.0,44273195.0,18973817.0,506470086.0,235517256.0,2556234.0
finland,7994340.0,1201834.0,9440208.0,2663407.0,10021688.0,0.0,3796156.0,14587111.0,1601074.0,2906364.0,639524.0,10234683.0,11496237.0,572643.0,7354384.0,17610113.0,432061.0,7904412.0,29084370.0,9806072.0,493126.0,30190415.0,16948222.0,67582.0
france,16304610.0,11192635.0,827622080.0,35776875.0,31384419.0,3969964.0,0.0,1052652304.0,33451666.0,1600061.0,46977472.0,32594370.0,940734896.0,29447596.0,652956896.0,32137860.0,13786323.0,212921932.0,10010543.0,170481330.0,24964244.0,249416832.0,278807484.0,46191446.0
germany,65618000.0,82000000.0,547444000.0,68198000.0,182449008.0,14784000.0,1126968000.0,0.0,72810000.0,7009000.0,21215000.0,56631000.0,992368960.0,48273000.0,1930274016.0,35241000.0,17556000.0,217482000.0,48662000.0,89669000.0,74617000.0,67300000.0,420459000.0,45198000.0
greece,20574643.0,5112852.0,10019100.0,3716851.0,3970877.0,2383688.0,30267660.0,63705811.0,0.0,1050916.0,1688926.0,4546731.0,26942743.0,3718533.0,44813369.0,4595895.0,999563.0,4116427.0,448034.0,2166683.0,784423.0,24247123.0,24298803.0,34421833.0
iceland,469754.0,17363.0,1026813.0,102971.0,14522610.0,2454764.0,1035709.0,7593953.0,1503397.0,0.0,18671.0,558921.0,7176941.0,1535609.0,1312741.0,2100510.0,10268184.0,4487941.0,4773044.0,795277.0,22220.0,14846046.0,58943638.0,201090.0
