,australia,austria,belgium-luxembourg,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa,yugoslavia
australia,0.0,10910694.0,73323685.0,252953999.0,8508810.0,33670213.0,187067283.0,255806532.0,27194909.0,554710.0,8385300.0,11485711.0,154938391.0,1993063699.0,80632462.0,25573843.0,7751987.0,27958885.0,47005884.0,13792481.0,11439289.0,754291237.0,808031742.0,26892635.0
austria,19194475.0,0.0,60822074.0,29217404.0,64478110.0,38899674.0,100417456.0,1125201684.0,25117717.0,2298010.0,4540337.0,16546182.0,501929508.0,23931906.0,84004474.0,35055851.0,27278064.0,25689526.0,116690184.0,397475961.0,29699230.0,265781679.0,113304691.0,101489854.0
belgium-luxembourg,81508432.0,61998841.0,0.0,192353858.0,122894766.0,81033598.0,3344646040.0,3544420072.0,60945473.0,4295310.0,45606117.0,121906452.0,622875437.0,136396157.0,3015565076.0,130795211.0,55650696.0,159849092.0,341194090.0,225077128.0,39793551.0,966846272.0,1059126426.0,29796744.0
canada,285908378.0,16186319.0,235286561.0,0.0,32383576.0,13744473.0,195483074.0,382445805.0,21752038.0,869161.0,20255531.0,25378321.0,251931020.0,1246263298.0,223570052.0,214422498.0,28217508.0,78189379.0,65987985.0,43345243.0,8697982.0,1416122329.0,10168458400.0,11000046.0
denmark,12241711.0,65139464.0,120319070.0,39786460.0,0.0,149251267.0,141081316.0,635179819.0,6205256.0,21683865.0,5732858.0,8742645.0,180229536.0,46595140.0,152879141.0,217484384.0,34181282.0,53970650.0,744960522.0,105896629.0,20862118.0,878641861.0,397080072.0,9399042.0
finland,39767434.0,39450971.0,77851226.0,17453843.0,113143264.0,0.0,141962276.0,373887336.0,16298107.0,7722923.0,23040236.0,25913456.0,63043856.0,30668364.0,137241948.0,91043746.0,21192747.0,39713904.0,374298540.0,70792193.0,3968096.0,628853987.0,144692427.0,2430619.0
france,250280007.0,104865276.0,3310171768.0,270727505.0,143002307.0,157981561.0,0.0,4844457696.0,157500464.0,3542686.0,78287331.0,82837658.0,2624459972.0,136716746.0,1527835272.0,147640115.0,86284639.0,592474823.0,447185216.0,718880768.0,78537907.0,824420334.0,1262705796.0,123530596.0
germany,323422992.0,1154498968.0,3816648008.0,531121000.0,637059008.0,387368008.0,5130332944.0,0.0,337120000.0,21811000.0,90840000.0,158889000.0,3499606000.0,421139008.0,6645682000.0,565037992.0,123299000.0,620818000.0,1075763016.0,1052548024.0,219143000.0,1028187016.0,2336504976.0,422605008.0
greece,40998894.0,28086972.0,61682589.0,18506643.0,7048315.0,21092124.0,143790100.0,242299061.0,0.0,1060282.0,1883265.0,11955996.0,147868642.0,35157230.0,75789454.0,10552745.0,4094855.0,20377198.0,24937664.0,14917809.0,13330726.0,74138244.0,82345410.0,58226885.0
iceland,489440.0,2331598.0,5284495.0,698360.0,21655167.0,8095112.0,3049862.0,25526283.0,1549520.0,0.0,130284.0,561514.0,9978162.0,5344937.0,6584014.0,6061514.0,10907093.0,4761818.0,10647457.0,9896078.0,1119695.0,34243947.0,62554182.0,255459.0
ireland,10921779.0,4026522.0,44801361.0,29337274.0,6001171.0,26197668.0,74601363.0,78791816.0,1385841.0,56619.0,0.0,4677360.0,31700056.0,14587305.0,49049222.0,11029275.0,8385451.0,27762509.0,32151257.0,8437148.0,1910328.0,1160798917.0,127835667.0,980682.0
israel,11826536.0,15833821.0,144764786.0,26300635.0,9464198.0,27404970.0,73404737.0,142416179.0,13608428.0,587870.0,1789408.0,0.0,61748122.0,91315820.0,104050260.0,8117332.0,5662085.0,9945967.0,27051550.0,88685447.0,13692989.0,336175783.0,359349876.0,23528607.0
italy,189252844.0,482630458.0,656444191.0,298898245.0,157509884.0,66127414.0,2622513668.0,3180018708.0,170070442.0,8840639.0,26168392.0,91924264.0,0.0,143839940.0,808969403.0,83666540.0,61587832.0,212700564.0,244281590.0,487198876.0,105069183.0,477442704.0,1289472394.0,514263519.0
japan,2425902463.0,19184428.0,164465975.0,1400877973.0,50075373.0,28018178.0,115984048.0,319184523.0,71083894.0,5655937.0,18659339.0,69747975.0,119462615.0,0.0,143372270.0,53658419.0,29921800.0,94497154.0,75074845.0,84978968.0,27420626.0,350694312.0,5995411229.0,40217347.0
netherlands,41100485.0,84963884.0,2738368960.0,129358437.0,182567199.0,143739400.0,1546273597.0,5641013176.0,74426374.0,5906565.0,48386123.0,48631777.0,742991494.0,95976015.0,0.0,132012849.0,45415278.0,162296661.0,386624137.0,145431242.0,34466421.0,990431252.0,1057129767.0,40773818.0
norway,65894494.0,84254397.0,297380575.0,481176427.0,524363994.0,219800995.0,294905954.0,1019387007.0,30159054.0,14299205.0,21065121.0,19749270.0,167614171.0,130942525.0,360214376.0,0.0,73887029.0,108162322.0,1437338950.0,126679578.0,23322107.0,1356778577.0,593259984.0,8425333.0
portugal,8130243.0,24642208.0,55349516.0,30753393.0,36190417.0,21112363.0,85275244.0,121549394.0,5952483.0,11204237.0,6339926.0,4401215.0,61348265.0,29789775.0,44439348.0,33613238.0,0.0,64681394.0,70084289.0,47054546.0,18447624.0,283066621.0,157019035.0,375159.0
spain,44038066.0,25822429.0,130449224.0,99453641.0,50687191.0,41195063.0,518388293.0,484300890.0,33858479.0,4996606.0,27026411.0,16495095.0,204305126.0,87003403.0,178875821.0,46555148.0,71149234.0,0.0,130838250.0,68170004.0,26990560.0,371049345.0,714431777.0,19081907.0
sweden,49904204.0,118341875.0,238556411.0,69491921.0,728236754.0,374520981.0,388298698.0,912559356.0,26830427.0,10848979.0,32456417.0,29385107.0,247919703.0,68430623.0,384290570.0,598957239.0,77846360.0,133183705.0,0.0,160141071.0,25122140.0,1121847005.0,317542025.0,25812406.0
switzerland,17948726.0,400828544.0,185335181.0,49700905.0,103512415.0,70686677.0,664405934.0,971157514.0,16137935.0,7303487.0,17875146.0,29525288.0,539784559.0,64366854.0,179235610.0,51499061.0,47728606.0,72153072.0,177582278.0,0.0,19610469.0,389571171.0,254018369.0,32864537.0
turkey,10281247.0,18220755.0,40476589.0,10828272.0,10511952.0,3462971.0,65130355.0,212521081.0,12486189.0,8850.0,1520597.0,11120489.0,85768018.0,20315508.0,33906164.0,6922656.0,8333906.0,7443226.0,15169493.0,92406704.0,0.0,79492456.0,63303653.0,14283355.0
united kingdom,823462532.0,264035293.0,786676896.0,1464810864.0,872209008.0,687577260.0,817424562.0,983917766.0,85840128.0,33842171.0,1331425126.0,308118444.0,565482057.0,367698136.0,1181223820.0,597283079.0,215810244.0,493855727.0,1223784726.0,690993080.0,41938834.0,0.0,1857836118.0,46211607.0
usa,828927443.0,73125772.0,1035090901.0,10428415091.0,365123634.0,126391456.0,1034264539.0,1969391042.0,103149311.0,62187483.0,130751909.0,331012944.0,1174465377.0,5541755352.0,1308067330.0,262168530.0,139606187.0,655166951.0,291790040.0,302573380.0,53926920.0,1695879366.0,0.0,148985705.0
yugoslavia,28806579.0,114703843.0,20745578.0,11706618.0,9751479.0,2361955.0,116550372.0,306567093.0,72640265.0,112703.0,97614.0,14744535.0,438557078.0,39870608.0,35479849.0,3482246.0,0.0,13802453.0,22425253.0,52865550.0,14996868.0,139410898.0,170207342.0,0.0
