,australia,austria,belgium-luxembourg,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa,yugoslavia
australia,0.0,7692526.0,20055036.0,55233721.0,2356943.0,16887242.0,32909809.0,98113662.0,429433.0,2947.0,1994657.0,6448193.0,32275543.0,357449308.0,31509541.0,6711521.0,2342496.0,6918713.0,24696025.0,9216571.0,842315.0,294192921.0,185434792.0,68776.0
austria,8105969.0,0.0,49306276.0,11711955.0,47577152.0,34717735.0,76997368.0,787806976.0,14236778.0,1785803.0,3838607.0,4787910.0,154572672.0,18531889.0,47425276.0,28223889.0,18752504.0,17601094.0,96958640.0,329438784.0,6619704.0,230791240.0,55099413.0,62586527.0
belgium-luxembourg,18651940.0,51359830.0,0.0,73476456.0,70914731.0,43431100.0,2040859392.0,2421670976.0,47231623.0,3050003.0,11980134.0,102095466.0,423278608.0,112758452.0,1636149120.0,84627584.0,40156456.0,99634626.0,150647644.0,170431440.0,19251728.0,725081856.0,761082176.0,18816282.0
canada,55474394.0,9644227.0,78532964.0,0.0,9541637.0,8663550.0,85252368.0,176508728.0,6420997.0,677141.0,9338519.0,13951951.0,73380836.0,350841400.0,47284726.0,65392062.0,14763401.0,28868556.0,40831973.0,16837288.0,4697581.0,703367056.0,4278824320.0,3301766.0
denmark,2501312.0,48745958.0,70783461.0,11359663.0,0.0,78643960.0,85660595.0,310271888.0,3107362.0,5424971.0,3492983.0,1652852.0,35958468.0,29640747.0,50795640.0,128288772.0,18980709.0,10122167.0,405475576.0,53709876.0,974724.0,225575508.0,62459332.0,6426661.0
finland,18004880.0,35110480.0,40953940.0,9597956.0,73755536.0,0.0,95586852.0,272160720.0,8396853.0,3419091.0,11971728.0,8056234.0,24811741.0,24832120.0,48887938.0,58679660.0,19721053.0,18328523.0,280478408.0,46478514.0,974047.0,391570144.0,101703617.0,1876033.0
france,36371981.0,80487244.0,2025035520.0,106157968.0,84914055.0,104756308.0,0.0,2968390528.0,95536012.0,1799459.0,14953559.0,41101786.0,1120007488.0,91107990.0,593489408.0,84368432.0,40658852.0,255450696.0,249135296.0,314932712.0,22302265.0,388074880.0,704702048.0,65337296.0
germany,103556000.0,829595968.0,2568785024.0,195821000.0,319370000.0,274252008.0,3032024960.0,0.0,219659000.0,13981000.0,47742000.0,75436000.0,1865020032.0,344776008.0,2617880960.0,376871992.0,76532000.0,275277000.0,615476000.0,768461024.0,67803000.0,674690016.0,1166039968.0,313679008.0
greece,630677.0,16796211.0,46457422.0,5718082.0,2596149.0,9854473.0,87723160.0,153003724.0,0.0,9366.0,126198.0,2350996.0,65677078.0,24452491.0,19064402.0,2986298.0,1355109.0,5588210.0,11974133.0,9062629.0,2339903.0,31658620.0,33955289.0,9860541.0
iceland,13548.0,2251892.0,3477580.0,537692.0,5618388.0,4206385.0,1673927.0,16375063.0,1050.0,0.0,111613.0,2593.0,2134501.0,3753045.0,1472976.0,3709900.0,610018.0,191915.0,4030267.0,8985639.0,1093801.0,16052684.0,2820196.0,4382.0
ireland,2003736.0,3531577.0,11989388.0,10489746.0,3639460.0,12789167.0,14461583.0,46352814.0,195459.0,24528.0,0.0,124454.0,9224008.0,11642811.0,15581803.0,5910043.0,4858330.0,6751109.0,11591701.0,5719902.0,15817.0,433307744.0,45114268.0,133597.0
israel,6424566.0,7759420.0,127224296.0,15480109.0,2787249.0,8658432.0,40025830.0,87736460.0,2965815.0,117411.0,438640.0,0.0,42247837.0,85936450.0,82383720.0,1960202.0,2957301.0,6409318.0,9134046.0,62268064.0,6967169.0,249150120.0,224115424.0,15399190.0
italy,36035268.0,153335644.0,421265728.0,87240330.0,36058713.0,26496384.0,1108729632.0,1793053952.0,72613970.0,1958163.0,8008069.0,34637511.0,0.0,97459938.0,266964712.0,38672438.0,20070297.0,104369348.0,96802288.0,207228672.0,32697037.0,250046192.0,537220784.0,245244480.0
japan,369951376.0,14864730.0,137249232.0,374096224.0,28510881.0,21778367.0,75552888.0,255637948.0,57635882.0,3479093.0,11027572.0,64231012.0,91743516.0,0.0,87186957.0,42362045.0,16404794.0,39098745.0,54338082.0,72727312.0,16055918.0,238470496.0,2681135680.0,38293681.0
netherlands,11920851.0,44723112.0,1455599168.0,30684914.0,52298632.0,47275499.0,588102624.0,2426077888.0,19674646.0,1181521.0,13112308.0,18819323.0,250479984.0,50392013.0,0.0,72110044.0,16451234.0,72033320.0,142817280.0,68168046.0,13368997.0,336775600.0,253809968.0,17087315.0
norway,12330891.0,70071402.0,200250328.0,45481346.0,330404768.0,161790888.0,177233984.0,792271168.0,12343228.0,8592311.0,13386854.0,4743042.0,72958068.0,108526972.0,225417704.0,0.0,34226517.0,30051631.0,956076736.0,97329992.0,9477214.0,871687392.0,254641712.0,6880948.0
portugal,2375226.0,17698766.0,39069316.0,15655135.0,18934564.0,19518361.0,39257889.0,74926398.0,1540681.0,553296.0,4127324.0,883018.0,23689525.0,17864040.0,16852117.0,13126205.0,0.0,20855704.0,57253738.0,36048308.0,391170.0,199617272.0,56668074.0,128603.0
spain,6680685.0,18343437.0,82958894.0,37551186.0,11039516.0,19773113.0,228787784.0,261549912.0,5042379.0,265568.0,6240557.0,4531928.0,99823136.0,38121551.0,62221308.0,13254968.0,22311634.0,0.0,40139186.0,32849735.0,4709393.0,158053596.0,142160348.0,2798200.0
sweden,22758349.0,100877264.0,146633140.0,45270904.0,394566872.0,282954736.0,232012272.0,576916448.0,17324608.0,3677278.0,15187181.0,8330841.0,95430728.0,54933895.0,147009812.0,363234784.0,63707264.0,40166979.0,0.0,117437544.0,6491850.0,617218448.0,209361152.0,19328861.0
switzerland,9441720.0,336437776.0,144933920.0,17746660.0,53312316.0,49312310.0,314830112.0,733065312.0,11258526.0,6455368.0,8068754.0,14982901.0,233186968.0,51775918.0,85042580.0,39681154.0,36050316.0,29117941.0,127987852.0,0.0,4110462.0,331938976.0,142505320.0,21601899.0
turkey,948895.0,7690936.0,17080632.0,6190173.0,914362.0,778317.0,25567529.0,66652208.0,2059019.0,0.0,22708.0,5166434.0,32512085.0,13952110.0,10423675.0,3573302.0,290456.0,2789671.0,5471693.0,21751873.0,0.0,19378916.0,21634271.0,1770594.0
united kingdom,276499336.0,232885344.0,548323088.0,725280832.0,217573972.0,420066232.0,360836864.0,650084672.0,34669667.0,15876056.0,517383424.0,212937529.0,256717728.0,248117888.0,395296768.0,341303752.0,137673928.0,192933256.0,628255200.0,616875232.0,12494279.0,0.0,1104174912.0,27852444.0
usa,159384781.0,47084588.0,732067751.0,4276528592.0,57481609.0,96896618.0,618163955.0,1101442911.0,47877081.0,3259719.0,52379120.0,206413629.0,490772903.0,2717725003.0,315445033.0,127773395.0,48454426.0,120493757.0,188907512.0,172313582.0,12490997.0,1060804939.0,0.0,54730438.0
yugoslavia,18243.0,69564896.0,12314694.0,4002204.0,6640771.0,1943224.0,53561690.0,225360600.0,21037303.0,31586.0,83638.0,5591974.0,182456368.0,37037772.0,16249753.0,1988665.0,0.0,2454979.0,17769880.0,33524684.0,2363433.0,115666696.0,67611973.0,0.0
