,australia,austria,belgium-luxembourg,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa,yugoslavia
australia,0.0,6176.0,5874833.0,124134.0,5922.0,0.0,1872381.0,2955814.0,5502554.0,0.0,23433.0,759.0,11371590.0,293645771.0,9999971.0,675506.0,0.0,1025524.0,121658.0,60665.0,0.0,15842267.0,10930066.0,0.0
austria,11593.0,0.0,1757775.0,5278.0,41059.0,5708.0,1285407.0,124979312.0,10730.0,0.0,0.0,1990.0,28647076.0,61603.0,2975534.0,1773.0,420496.0,42489.0,144145.0,10740294.0,951.0,1336674.0,885547.0,9903455.0
belgium-luxembourg,8028878.0,1996302.0,0.0,4033298.0,27497630.0,1314989.0,56544864.0,320909048.0,797738.0,266563.0,329308.0,208235.0,18471879.0,328446.0,466362020.0,21794915.0,3881735.0,8597694.0,52003210.0,13293116.0,2008305.0,75440554.0,61594712.0,753965.0
canada,1017755.0,0.0,3794131.0,0.0,25031.0,0.0,159085.0,5545011.0,0.0,0.0,0.0,0.0,1883030.0,111914327.0,2366413.0,44336.0,4624.0,478575.0,3088601.0,2913.0,0.0,9586617.0,1872338080.0,766392.0
denmark,8686.0,56615.0,26100153.0,490833.0,0.0,2458562.0,3760461.0,30548963.0,28138.0,96955.0,926031.0,22017.0,15912635.0,32452.0,50919303.0,19376543.0,1672663.0,5393967.0,82057446.0,126692.0,20497.0,110704404.0,2803476.0,618.0
finland,146169.0,8587.0,1428152.0,16249.0,2828804.0,0.0,1231187.0,5987366.0,8261.0,0.0,958.0,3574.0,416051.0,70305.0,8857040.0,4675235.0,0.0,32010.0,25561045.0,79081.0,0.0,11476656.0,2458250.0,0.0
france,1438873.0,831527.0,75548392.0,267285.0,4642108.0,958632.0,0.0,473907600.0,3054442.0,27168.0,860286.0,166777.0,138520436.0,85457.0,144564736.0,12964138.0,5485783.0,39080075.0,6171253.0,181327661.0,1207339.0,72723570.0,69450148.0,626264.0
germany,6123000.0,62722000.0,423985984.0,8251000.0,18190000.0,4404000.0,545724992.0,0.0,3259000.0,54000.0,1893000.0,5006000.0,244921008.0,1220000.0,1298368032.0,34855000.0,5008000.0,52673000.0,24711000.0,90165000.0,17767000.0,161523000.0,135729008.0,12958000.0
greece,10106840.0,55751.0,1113015.0,90102.0,212182.0,19256.0,5313351.0,3180325.0,0.0,0.0,7221.0,442268.0,34393477.0,37664.0,4876148.0,29877.0,0.0,661562.0,167111.0,886430.0,4184465.0,2811384.0,4331493.0,327851.0
iceland,0.0,0.0,644958.0,1194.0,129391.0,0.0,37264.0,266207.0,0.0,0.0,0.0,0.0,0.0,0.0,3394937.0,12718.0,0.0,0.0,119499.0,38150.0,0.0,2381021.0,152222.0,0.0
ireland,11261.0,0.0,808167.0,0.0,1037.0,0.0,898237.0,1448926.0,0.0,0.0,0.0,0.0,434139.0,4456.0,3628463.0,275498.0,303737.0,39006.0,392262.0,4621.0,0.0,89981269.0,1834201.0,0.0
israel,0.0,1201.0,56595.0,0.0,27521.0,3731.0,125812.0,620171.0,7212.0,0.0,0.0,0.0,430612.0,0.0,529590.0,1779.0,4879.0,656.0,29662.0,43523.0,0.0,854325.0,1288441.0,0.0
italy,11719145.0,22862338.0,45236925.0,358911.0,10989019.0,310853.0,122069124.0,126826540.0,48085561.0,2057.0,238760.0,35321010.0,0.0,141541.0,80717334.0,963075.0,10308196.0,30149797.0,21810033.0,60384186.0,11528374.0,55133665.0,199291240.0,19979713.0
japan,383176416.0,6604.0,291235.0,174702535.0,42311.0,37615.0,449516.0,1194609.0,16826.0,0.0,8126.0,0.0,66297.0,0.0,975419.0,1019.0,48931.0,737811.0,10632.0,69915.0,0.0,2070522.0,580796277.0,5801.0
netherlands,10987601.0,2339437.0,441467448.0,2856941.0,78575273.0,10548685.0,147748853.0,901850728.0,5146220.0,3372879.0,5166086.0,268025.0,36451874.0,538358.0,0.0,15870998.0,11623229.0,19598642.0,44637400.0,11728931.0,2455557.0,282645100.0,57678153.0,6447346.0
norway,2028962.0,6199.0,56943216.0,35472.0,38221988.0,3358118.0,11575294.0,28475627.0,14618.0,16801.0,803702.0,0.0,2475220.0,7436.0,41922446.0,0.0,0.0,4522.0,90723982.0,98871.0,898869.0,145081553.0,36834132.0,92526.0
portugal,0.0,0.0,4017940.0,1361.0,3016087.0,5080.0,7117695.0,4894979.0,0.0,0.0,26370.0,0.0,7102978.0,49736.0,8941956.0,41324.0,0.0,6543951.0,456064.0,28169.0,0.0,7716945.0,7903080.0,0.0
spain,2881335.0,48550.0,4465172.0,725152.0,1088541.0,47911.0,33638257.0,23470800.0,887192.0,0.0,67552.0,0.0,22843123.0,203311.0,34162523.0,144907.0,8767661.0,0.0,6140599.0,24970.0,414750.0,15425902.0,84954660.0,0.0
sweden,3321312.0,137028.0,49427319.0,1505837.0,92531840.0,27538614.0,4623604.0,30678870.0,4026.0,80624.0,2491.0,16107.0,22905641.0,22169.0,39060461.0,64256483.0,805437.0,8414727.0,0.0,255715.0,96517.0,137251263.0,19273160.0,469456.0
switzerland,27579.0,4379368.0,8140182.0,29309.0,198469.0,116740.0,129416645.0,84758274.0,20451.0,0.0,14428.0,1002073.0,72662523.0,61664.0,27287104.0,17565.0,23996.0,191738.0,311593.0,0.0,20144.0,1685035.0,3396335.0,62390.0
turkey,0.0,521.0,889024.0,0.0,6628.0,0.0,1052526.0,10455707.0,5489953.0,0.0,0.0,5789.0,9840902.0,0.0,2389317.0,0.0,0.0,338235.0,0.0,3343770.0,0.0,2870395.0,12712305.0,0.0
united kingdom,27606005.0,636033.0,81570088.0,10704842.0,100204445.0,11067346.0,72798466.0,80197164.0,5563790.0,1609000.0,152358008.0,609898.0,96835517.0,1550447.0,281947632.0,75845240.0,8536341.0,25175491.0,130060808.0,596567.0,3310565.0,0.0,99684238.0,1699307.0
usa,14972008.0,380833.0,63526834.0,2064579970.0,1872156.0,512159.0,51088013.0,69414443.0,3222102.0,127512.0,954355.0,1156345.0,165716813.0,453231638.0,86024306.0,10030682.0,6358242.0,65800270.0,15351664.0,1255584.0,8661276.0,73262154.0,0.0,4080994.0
yugoslavia,0.0,9611995.0,306111.0,1977.0,168404.0,16912.0,319683.0,3261634.0,255533.0,0.0,1871.0,342675.0,7020826.0,21700.0,1040285.0,259137.0,0.0,582.0,170064.0,830294.0,16570.0,4370836.0,8368740.0,0.0
