,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,6911431.0,70912788.0,226060177.0,213054007.0,30244362.0,469671791.0,1160457.0,187221381.0,135368.0,1821589.0,79463311.0,124952187.0,51673363.0,3935827.0,683386.0,114538718.0,427599052.0,12792487.0,268099698.0,36096983.0,160047.0,601857.0,698170.0,17976760.0,120124983.0,1148370455.0,35654875.0,20965410.0,3209816.0,53468639.0,693034.0,1339503.0,56671912.0,5168001.0,54907226.0,74908786.0,143039957.0,630884200.0
austria,3513748.0,0.0,153546144.0,163506612.0,5941355.0,19961748.0,87920843.0,172510003.0,82436799.0,1272251.0,5084045.0,296151101.0,3483887715.0,53205151.0,348034069.0,858776.0,28765090.0,21293763.0,22211123.0,782781649.0,2533973.0,1048279.0,7389853.0,2730104.0,3484130.0,512059779.0,29916854.0,12532579.0,304593059.0,13902173.0,741439.0,105180186.0,76390117.0,278571234.0,13130072.0,250605473.0,121661932.0,65248016.0,44543395.0
belgium,44943122.0,65706128.0,0.0,1020787304.0,241396578.0,62143915.0,211382948.0,49699496.0,199591985.0,6874367.0,43498305.0,5613681896.0,2952527853.0,50492689.0,69284184.0,95621368.0,181322848.0,269218298.0,113983873.0,745803389.0,3584822.0,2323715.0,23541667.0,98938280.0,43194265.0,5831308522.0,425643302.0,2620050.0,217299689.0,66884736.0,13475561.0,29686071.0,1787430.0,789729554.0,117567779.0,82973139.0,158765931.0,675332361.0,363802029.0
brazil,5632905.0,5326521.0,72315970.0,0.0,117938449.0,224712733.0,86354725.0,27719.0,14614034.0,0.0,465004.0,65007645.0,53493581.0,393018.0,594539.0,3672061.0,7520623.0,1063774.0,733300.0,40755105.0,2692024.0,0.0,0.0,0.0,12134376.0,74730362.0,9871756.0,177302988.0,9136028.0,68540993.0,591758.0,131.0,0.0,27449999.0,42470.0,13215653.0,40833006.0,14140623.0,239488911.0
canada,127450048.0,5149349.0,92636035.0,570601941.0,0.0,416795941.0,695928182.0,2402466.0,47029077.0,2297631.0,7113247.0,147134813.0,129715690.0,41644804.0,3666894.0,13892813.0,154061674.0,44417128.0,17129753.0,209294706.0,48260143.0,349129.0,401652.0,674641.0,687590933.0,95512332.0,288582354.0,45703077.0,29715203.0,10423324.0,31236791.0,348286.0,1294411.0,92273710.0,33097319.0,78373782.0,86113447.0,198590397.0,11925689423.0
chile,1019793.0,1288146.0,10923366.0,156980497.0,70915666.0,0.0,30347767.0,123198.0,4504759.0,70105.0,490544.0,18566382.0,27211128.0,904420.0,551373.0,328248.0,1039150.0,2494805.0,578499.0,13272165.0,169877.0,0.0,0.0,219.0,18605762.0,24612887.0,4112909.0,1399562.0,1081308.0,44581.0,1538385.0,0.0,0.0,18085541.0,779682.0,4730318.0,2321618.0,19282917.0,426080782.0
china,437768511.0,8628349.0,25435096.0,319432720.0,429023099.0,315205627.0,0.0,4170575.0,177128609.0,3555580.0,44059958.0,370226423.0,86047133.0,2026818.0,462800.0,33446628.0,264548298.0,53340478.0,38605594.0,47743497.0,324665914.0,1157596.0,2220209.0,4069.0,26416386.0,203877558.0,548385691.0,175184947.0,12928728.0,9925956.0,261688828.0,39402.0,571727.0,36212254.0,24430263.0,10005350.0,10962542.0,52901233.0,1936138318.0
czechia,256933.0,234172534.0,147515713.0,127028983.0,23370352.0,14616568.0,88773328.0,0.0,65256119.0,4856341.0,13807247.0,158522178.0,1187665064.0,42935066.0,193265739.0,1624126.0,11882474.0,32729332.0,16045517.0,295403815.0,1020271.0,4370968.0,10190397.0,2060749.0,3146714.0,288160159.0,3161333.0,9662441.0,710585316.0,1880174.0,349204.0,467030807.0,3240426.0,277820669.0,12784075.0,28856277.0,42077654.0,61692005.0,59648677.0
denmark,11164333.0,44880222.0,348440628.0,238697481.0,198094849.0,73448112.0,101773047.0,2568645.0,0.0,11051899.0,47515486.0,446504042.0,2071706186.0,33766348.0,23942654.0,104472448.0,29824529.0,188183980.0,3207429.0,356716790.0,1698073.0,9280233.0,23654520.0,6950767.0,2875871.0,1130870712.0,96971412.0,431487412.0,266034353.0,17247349.0,990625.0,1646958.0,6071788.0,314674580.0,779963312.0,29147477.0,51882231.0,307776831.0,143653850.0
estonia,148833.0,6575769.0,19038898.0,9018567.0,13364965.0,4817388.0,10967406.0,7449052.0,57438399.0,0.0,111034325.0,15994594.0,55585706.0,1323746.0,16800444.0,1728255.0,6115352.0,486983.0,1829347.0,13476678.0,55690.0,89557861.0,98919675.0,0.0,115852.0,38312637.0,1444843.0,15172969.0,86895321.0,1062424.0,5044.0,1405939.0,54798.0,34172678.0,27050813.0,2064671.0,3087765.0,19811427.0,9213396.0
finland,2120885.0,13666027.0,113304366.0,164806959.0,9160281.0,10206502.0,21429953.0,10030729.0,269334318.0,58208711.0,0.0,133811534.0,471797322.0,21906862.0,12880798.0,13020530.0,8487856.0,22233678.0,18906531.0,95390387.0,1227037.0,10245178.0,16112742.0,1816791.0,1667712.0,324177579.0,25328691.0,157365044.0,63963646.0,3236844.0,1002651.0,8743080.0,71565.0,171424757.0,433019986.0,24711552.0,12389116.0,69705512.0,36123946.0
france,41571044.0,161694450.0,4983168261.0,1530397177.0,185101495.0,278566344.0,490868544.0,77905903.0,525634607.0,8766319.0,44207664.0,0.0,4667171782.0,146311187.0,201451015.0,92698980.0,241519144.0,802435884.0,378707156.0,3062028255.0,30944953.0,12325276.0,60806984.0,102701944.0,81926030.0,3747287544.0,351006852.0,542555098.0,512796006.0,290599273.0,8774554.0,30221633.0,5284222.0,5508736987.0,155799454.0,585360042.0,317740959.0,1746860873.0,696711639.0
germany,97792000.0,1956302000.0,3288252000.0,2673984000.0,233560000.0,396574000.0,1242636000.0,704646000.0,2399160000.0,63503000.0,125998000.0,4698435000.0,0.0,575735000.0,671290000.0,72773000.0,318819000.0,1323616000.0,285726000.0,4273165000.0,29733000.0,88817000.0,198991000.0,354514000.0,96529000.0,9773373000.0,600104000.0,378715000.0,2551394000.0,141120000.0,13276000.0,90052000.0,34744000.0,3325154000.0,196586000.0,1096518000.0,1205539000.0,762409000.0,1053921000.0
greece,2761630.0,73505632.0,332101626.0,128863664.0,26566343.0,17887016.0,39762704.0,6287403.0,214392058.0,131539.0,19557757.0,930452249.0,1056624234.0,0.0,178425632.0,11353971.0,61857329.0,45726732.0,14915462.0,717889500.0,344571.0,641583.0,2540462.0,677888.0,8826169.0,941971838.0,37644460.0,12335162.0,55404715.0,18737383.0,385857.0,5833177.0,3074747.0,343604060.0,40539739.0,5578323.0,146187107.0,155353431.0,88132618.0
hungary,190000.0,228915000.0,96602000.0,12129000.0,5028000.0,1713000.0,13576000.0,175724000.0,33755000.0,714000.0,892000.0,106555000.0,756065000.0,24845000.0,0.0,28000.0,6730000.0,10217000.0,4352000.0,201544000.0,222000.0,1220000.0,5185000.0,745000.0,170000.0,348382000.0,238000.0,166000.0,365607000.0,14409000.0,201000.0,240863000.0,78094000.0,97651000.0,13837000.0,3995000.0,21819000.0,61717000.0,28349000.0
iceland,174450.0,2100164.0,11077820.0,4533849.0,29132454.0,3260723.0,1730135.0,513563.0,60884321.0,11808503.0,913163.0,13648367.0,26370520.0,133319.0,1205109.0,0.0,1319148.0,13854610.0,1667163.0,12423397.0,189215.0,1860005.0,4302978.0,51052.0,292176.0,39820323.0,1296438.0,25792433.0,6168820.0,632141.0,1027580.0,4259.0,29404.0,13434254.0,14401129.0,5188418.0,1320645.0,26303555.0,32474709.0
india,288155867.0,273460.0,5973350.0,5171472.0,874868064.0,18236431.0,100233290.0,363951.0,5082716.0,49131.0,431107.0,106165191.0,21009628.0,77783.0,16731.0,1729.0,0.0,1190870.0,1397259.0,8198794.0,2145142.0,150.0,0.0,0.0,564680.0,20079899.0,12054297.0,673483.0,897418.0,379730.0,3408830.0,17100.0,295.0,3034083.0,76915.0,5252923.0,4498982.0,10601432.0,306805172.0
ireland,3694199.0,9805641.0,176269437.0,194002255.0,28513831.0,22887228.0,17937127.0,3815742.0,45824585.0,27987.0,9164863.0,365118990.0,400034105.0,6772149.0,3160537.0,11528286.0,26024908.0,0.0,17363064.0,114933694.0,1283662.0,2418493.0,9379329.0,1156561.0,4052799.0,502726339.0,14477230.0,1530092.0,41446594.0,13645968.0,335322.0,1832036.0,139116.0,150404950.0,8527914.0,13129575.0,13929886.0,3256655994.0,251014317.0
