,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,159858122.0,249216038.0,141466432.0,164175331.0,110609371.0,4241378068.0,34596991.0,61192533.0,270470.0,304967096.0,465747505.0,848024245.0,44491303.0,20580843.0,2924359.0,431128376.0,16483706.0,112936004.0,619250895.0,1352806978.0,1991413.0,19237288.0,6716412.0,94323345.0,131846516.0,1012059830.0,28170649.0,22978750.0,49284941.0,774832077.0,9367263.0,11489956.0,204152504.0,343921620.0,97906973.0,65440599.0,400396300.0,1479973739.0
austria,31498384.0,0.0,562478997.0,80372364.0,186198346.0,1308914.0,713423589.0,953896233.0,78581131.0,8532350.0,353363464.0,925386268.0,11900910529.0,31180307.0,672053090.0,1796016.0,104990482.0,32104382.0,20711809.0,2753252011.0,180689119.0,8444323.0,12651340.0,147762449.0,10298435.0,643173539.0,15097291.0,177119583.0,545392036.0,76637251.0,113768050.0,752022646.0,456035003.0,326663002.0,573926803.0,828800459.0,259413232.0,524516798.0,387251015.0
belgium,472199001.0,712268768.0,0.0,989904758.0,859063450.0,35623743.0,5163023416.0,562823179.0,225502276.0,23243457.0,949273528.0,7246383002.0,8999088597.0,113512881.0,236728947.0,1035668.0,3236600309.0,62471855.0,2765139808.0,2384256060.0,837169164.0,18127984.0,32102867.0,847351861.0,173963444.0,8551957285.0,2832117.0,235380326.0,760561615.0,278042853.0,739025314.0,170442000.0,87541624.0,1125671951.0,1018953354.0,832838843.0,805911880.0,5847719002.0,2005620105.0
brazil,29363647.0,188162841.0,184590668.0,0.0,242276895.0,1664966919.0,1935410642.0,42093577.0,14099784.0,264716.0,261734832.0,431208767.0,1095419682.0,19565072.0,4425185.0,11735.0,267572661.0,3671719.0,40204678.0,513706150.0,503730521.0,29225.0,606580.0,34150073.0,101919759.0,124323166.0,573436.0,48772570.0,21930330.0,28931999.0,266758791.0,6282628.0,6752325.0,281712683.0,253681802.0,79902166.0,43129515.0,334026042.0,1628074397.0
canada,129527016.0,224115924.0,317625303.0,372397490.0,0.0,751845447.0,5419943500.0,93798187.0,66032660.0,2691039.0,241528271.0,540132038.0,1192639691.0,33816235.0,27370578.0,869301.0,537887850.0,16363107.0,185458527.0,801192787.0,1134283171.0,4075407.0,4569340.0,71967606.0,733113758.0,226734377.0,27034641.0,97575126.0,59332972.0,91821883.0,735203242.0,8338508.0,9918976.0,254689077.0,297251556.0,108521586.0,215566855.0,462337309.0,29210874450.0
chile,16713753.0,35593290.0,30290088.0,728755324.0,82845317.0,0.0,1078739159.0,3769120.0,9643270.0,2167.0,87161254.0,92137486.0,217589947.0,4127234.0,736540.0,39958.0,76840213.0,783702.0,5651727.0,111188249.0,129081325.0,574363.0,2880984.0,5635594.0,108294842.0,26962906.0,3064452.0,1711294.0,13290382.0,56445641.0,140170950.0,3869589.0,1370222.0,228463560.0,47254007.0,13731335.0,24462687.0,37802743.0,522111219.0
china,2377995244.0,441302283.0,1541733471.0,1183610942.0,1715679053.0,5603139745.0,0.0,100033312.0,186125166.0,1801238.0,562410738.0,1086766053.0,4824128020.0,32119845.0,28120863.0,88746.0,1852595858.0,21149456.0,384583437.0,2126331991.0,20241560947.0,1557400.0,2871059.0,140569335.0,178190545.0,258478815.0,129153029.0,229600939.0,453319567.0,42056922.0,11822082506.0,13301906.0,9920914.0,345637298.0,884527893.0,724945503.0,126190061.0,1235667864.0,4801005828.0
czechia,4958224.0,1300104090.0,752316752.0,36059590.0,50251378.0,32775295.0,839702968.0,0.0,134702872.0,17400682.0,264189526.0,1028320651.0,7981087285.0,43051561.0,436389005.0,23508159.0,157683416.0,12929268.0,27973272.0,1554667566.0,364453880.0,16846453.0,23215089.0,199796787.0,15706289.0,560372366.0,545041.0,131988093.0,1948873028.0,66557135.0,104596943.0,2085857580.0,227366524.0,415285908.0,550369059.0,209352952.0,188474411.0,577863214.0,234317219.0
denmark,1325611.0,358488793.0,497348142.0,38620634.0,29530147.0,18304065.0,864179976.0,202307198.0,0.0,111230468.0,814600235.0,609173926.0,4352726836.0,18797796.0,55628766.0,1155899.0,121265586.0,25661956.0,12280327.0,747631580.0,75142972.0,85164846.0,152559309.0,98521141.0,7721130.0,822420714.0,1175733.0,651357845.0,695016456.0,90582557.0,103724747.0,92413794.0,27630469.0,168506744.0,2681186884.0,104011888.0,112960372.0,716269202.0,182671530.0
estonia,96598.0,23719709.0,38598283.0,21879885.0,2620863.0,20645.0,156748710.0,33970453.0,40062437.0,0.0,517857302.0,49271841.0,265556330.0,1209082.0,7046318.0,8949.0,19250299.0,1626907.0,2213597.0,94326456.0,99903992.0,108660022.0,56653770.0,11879722.0,172536.0,43871005.0,30855.0,24115427.0,144945993.0,10357489.0,17244586.0,8768714.0,5951305.0,28383711.0,227302141.0,13129623.0,33986783.0,37624528.0,33775609.0
