,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,198916207.0,428796189.0,542417733.0,862313354.0,567051395.0,6103087212.0,79231156.0,319366835.0,9723288.0,345087791.0,500183389.0,1119865092.0,122693949.0,25674017.0,3047872.0,692804443.0,442143183.0,190688495.0,974689081.0,2930070583.0,1437730.0,15844344.0,11848336.0,115888225.0,357445518.0,4244334225.0,74240448.0,55810626.0,52485058.0,1823578456.0,12563576.0,12578160.0,284574969.0,387818319.0,177655098.0,155321470.0,693568396.0,3092410269.0
austria,46707929.0,0.0,855736986.0,352415991.0,225012084.0,35625161.0,1030088954.0,2717560199.0,196181790.0,16167983.0,372407204.0,1524776891.0,25588890920.0,99490289.0,2298615811.0,8673603.0,193960295.0,141446912.0,46997044.0,5058774480.0,199236089.0,15380463.0,24666551.0,143433883.0,24296565.0,1739497191.0,80378751.0,184429680.0,1752743699.0,166676853.0,145265298.0,2113087682.0,623623002.0,710643270.0,730340441.0,1417795980.0,481798470.0,665055249.0,550596642.0
belgium,1178757260.0,911927959.0,0.0,3406748360.0,2110120338.0,183872495.0,6390173430.0,720612111.0,578187860.0,59690515.0,1514541004.0,20379447970.0,18461049541.0,164434658.0,431610289.0,82762123.0,4110991571.0,394343725.0,2550591972.0,3645444582.0,1219152268.0,81577479.0,107481650.0,1516825127.0,359419190.0,57452157453.0,569614506.0,6062254171.0,1289615194.0,490894825.0,956991607.0,233927869.0,98389147.0,3167216395.0,2195676709.0,1047052341.0,1160436511.0,11896328120.0,4802743643.0
brazil,1052094055.0,246531625.0,446858022.0,0.0,1278929229.0,3379242886.0,4205074062.0,77976734.0,61456887.0,955297.0,279319115.0,778409060.0,1712176432.0,49745234.0,6925948.0,7437225.0,2322502786.0,11250914.0,114761186.0,916948703.0,946218821.0,561088.0,5029827.0,27686315.0,273438799.0,652639261.0,37404541.0,404041226.0,78500321.0,315073405.0,599679820.0,12253414.0,8866076.0,584872832.0,367000372.0,184021031.0,145415544.0,573932585.0,6145201991.0
canada,680554277.0,242110237.0,987627402.0,1616939771.0,0.0,1367212924.0,7586094170.0,118581628.0,317905015.0,13233833.0,290809319.0,904907750.0,1659741811.0,81214441.0,30785014.0,19356015.0,822723110.0,74494901.0,261692927.0,1215150065.0,1464340003.0,24383363.0,272834852.0,78762276.0,2507302422.0,1021468647.0,300864423.0,5622541528.0,214177335.0,235480812.0,1009090865.0,12465258.0,11852401.0,748588917.0,407070613.0,242976949.0,377012339.0,5951612325.0,67927457427.0
chile,190715642.0,41834156.0,92143541.0,2942708126.0,663563968.0,0.0,1881835410.0,5026085.0,28479593.0,525221.0,86733663.0,164210944.0,334071600.0,10527310.0,1737458.0,3107912.0,176198621.0,7652487.0,9236584.0,166296462.0,1013302739.0,546500.0,4628288.0,8077607.0,491606569.0,65437325.0,39423314.0,45510965.0,15316983.0,53687516.0,1626619271.0,604102.0,2017560.0,311806144.0,66109368.0,22862985.0,828797273.0,102143844.0,5496442448.0
china,35781954008.0,593608258.0,2117862435.0,27457251916.0,7384897612.0,10895477298.0,0.0,144608836.0,789720800.0,24578259.0,992101937.0,2560553200.0,6540619979.0,154473773.0,46264532.0,30897847.0,18165807535.0,218991998.0,498512383.0,2842498742.0,32529966136.0,8789014.0,13202829.0,174606706.0,1196189487.0,1817273732.0,1586847708.0,529607814.0,736652380.0,133042172.0,23874640478.0,36681773.0,15881677.0,2978149928.0,1213935708.0,882265908.0,1547481466.0,2631820438.0,28386765513.0
czechia,95912338.0,2525362635.0,1113089951.0,254782706.0,126298284.0,58643788.0,1176496336.0,0.0,228824013.0,41566500.0,303417078.0,1533617323.0,12119054338.0,101677834.0,861132284.0,49188187.0,192000368.0,41452292.0,58735896.0,2102775029.0,374237600.0,28735703.0,40783747.0,231520282.0,32797488.0,1229493960.0,11797363.0,723502398.0,4106111125.0,94317983.0,227348940.0,4809128289.0,232397085.0,798013756.0,610393171.0,283848251.0,260471871.0,770647480.0,481031510.0
denmark,27054528.0,496163542.0,928879197.0,302834958.0,310088937.0,113796706.0,1117645444.0,264743204.0,0.0,251423419.0,1269742103.0,1212224499.0,7752781186.0,59946743.0,98294636.0,116108063.0,172685944.0,256347779.0,28652319.0,1236357769.0,59988367.0,317368183.0,519714374.0,119565223.0,35894508.0,2705605427.0,151002383.0,3773561381.0,1525467987.0,128453412.0,191835867.0,141154928.0,39030055.0,623562397.0,6267874732.0,129986055.0,185491258.0,1736574007.0,552153034.0
estonia,232987.0,30421526.0,90324139.0,38930876.0,17556608.0,9055499.0,190352573.0,44816020.0,106049034.0,0.0,712080225.0,73945705.0,490334014.0,3539958.0,22583574.0,1922597.0,25999520.0,4114399.0,5697212.0,113216674.0,174672040.0,334407569.0,854010284.0,19860026.0,628768.0,137084115.0,3339952.0,77268854.0,354536073.0,10075407.0,35562862.0,10080994.0,4813168.0,82701180.0,345817841.0,17873753.0,32228398.0,74155865.0,55171685.0
