,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,289715.0,15992246.0,14145.0,3781518.0,0.0,128792015.0,14399.0,501010.0,94399.0,359329.0,6862145.0,16180590.0,368481.0,29324.0,0.0,12732414.0,625776.0,479544.0,1245489.0,3285692804.0,455020.0,784801.0,1178491.0,3672.0,14368539.0,1224680080.0,38028441.0,0.0,1012073.0,3471761491.0,0.0,50354.0,2082676.0,2125171.0,4276849.0,347601.0,6061825.0,296384895.0
austria,31215.0,0.0,40811543.0,0.0,287519.0,0.0,388330.0,1200726078.0,108042.0,579265.0,211643.0,14252355.0,4249942933.0,152642.0,491135196.0,0.0,6838.0,8903.0,31276.0,369691667.0,748073.0,2620508.0,831795.0,39168.0,29233.0,44431200.0,2551.0,561498.0,498185853.0,0.0,116160.0,1193484257.0,444131312.0,2222928.0,4482908.0,17313631.0,201644.0,46288467.0,136582574.0
belgium,281766041.0,3476715.0,0.0,50695102.0,193014548.0,222.0,2253450.0,1987580.0,81748455.0,133306257.0,732844141.0,4029203137.0,3126830434.0,35752602.0,1914503.0,415.0,772234198.0,50823211.0,54349.0,278748531.0,2528262.0,68664450.0,31938486.0,82643322.0,2027.0,48130474587.0,0.0,8223525821.0,183513128.0,210851266.0,370012238.0,2082689.0,539532.0,762899891.0,946750720.0,33184758.0,1122351.0,5438620311.0,3159204100.0
brazil,854853032.0,78195.0,109986930.0,0.0,284343027.0,28935637.0,110256345.0,9626496.0,64269.0,20110.0,55213343.0,85673284.0,58651631.0,80312152.0,0.0,0.0,3364533867.0,5209.0,5479323.0,168393382.0,214900862.0,162434.0,0.0,0.0,145128837.0,892773973.0,0.0,235252902.0,110779950.0,80003721.0,626239532.0,0.0,0.0,902408492.0,20016967.0,4835348.0,220739167.0,62788612.0,6772121078.0
canada,4416.0,142036.0,187802343.0,704507141.0,0.0,1716.0,21808939.0,66986.0,88403191.0,41797966.0,305297967.0,63201804.0,48457622.0,3552288.0,2437.0,4245.0,161642890.0,35582.0,430344.0,8769939.0,68531232.0,277741.0,105279568.0,1506.0,1498290008.0,1716692249.0,4985.0,3239852547.0,34642.0,31547343.0,47513706.0,2729.0,9.0,179256113.0,2193270.0,2421836.0,20902.0,1690088983.0,23647320643.0
chile,180646480.0,22786.0,3980937.0,1512634460.0,727860110.0,0.0,8945786.0,4678.0,359073.0,375275.0,417889.0,3565819.0,18179526.0,218247.0,2753.0,0.0,1727070.0,5831.0,12508.0,1351932.0,74357042.0,977351.0,286371.0,0.0,2708878.0,208549842.0,2278.0,306.0,965843.0,2590587.0,222736937.0,6152.0,0.0,47897709.0,964382.0,103282.0,926649.0,803417581.0,6183161408.0
china,13548022718.0,1052727.0,234750804.0,3810247074.0,2170709436.0,9278238.0,0.0,1352488.0,172314.0,2042711.0,9777502.0,73085398.0,181354295.0,5865488.0,687031.0,0.0,158943622.0,83330.0,5725907.0,38000860.0,1861521445.0,9904995.0,3612202.0,739.0,778400263.0,2075434361.0,81101804.0,220056031.0,5433659.0,2148410.0,10262931463.0,2134.0,0.0,20832448.0,45592876.0,3875013.0,116339688.0,231100713.0,2839477744.0
czechia,691229.0,330890951.0,44340606.0,2502.0,2225157.0,0.0,361954.0,0.0,6009483.0,1185505.0,123879.0,41509611.0,1956019852.0,196368.0,33386767.0,0.0,18174.0,0.0,112509.0,29573959.0,1321604.0,3242868.0,3208192.0,66.0,3808.0,48006911.0,10791.0,80312.0,824790552.0,0.0,2871819.0,1219803390.0,11965135.0,1740019.0,4582012.0,5085747.0,53193.0,36989783.0,19731870.0
denmark,6737247.0,324084.0,77746627.0,0.0,118502150.0,53.0,2300551.0,144670.0,0.0,32010227.0,414210303.0,40654214.0,721697555.0,6505.0,105026.0,9.0,73284381.0,1843371.0,0.0,7437353.0,117753.0,6125042.0,181927.0,1389.0,2669963.0,408746814.0,26123.0,3426134020.0,229796118.0,9590869.0,1017.0,895.0,19470.0,8583564.0,974903724.0,1228166.0,598350.0,1236508593.0,57752567.0
estonia,0.0,653758.0,15042798.0,63.0,19024.0,0.0,301614.0,79972.0,2919519.0,0.0,419676370.0,2444052.0,37452415.0,55437.0,9906.0,0.0,14993991.0,0.0,0.0,13526303.0,160942.0,36348796.0,655927549.0,0.0,401.0,21516315.0,0.0,5479625.0,2091202.0,0.0,37655.0,234.0,39657.0,147830.0,62132199.0,73906.0,16450.0,53118647.0,483063.0
