,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,7807911.0,2581710.0,40515316.0,174801078.0,164123977.0,159923095.0,23622725.0,3293423.0,15643933.0,8350236.0,22320352.0,50367301.0,814054.0,110487.0,0.0,67253379.0,3627467.0,3004304.0,14967878.0,28050751.0,157546.0,7012708.0,0.0,41073945.0,37126521.0,314874536.0,6390704.0,276169.0,302548.0,68226435.0,955337.0,231324.0,6887496.0,2088338.0,3035896.0,2587848.0,16534241.0,218662061.0
austria,9794159.0,0.0,31751987.0,80830034.0,8013585.0,66936265.0,80898305.0,683163796.0,28982651.0,7745740.0,39659927.0,154496462.0,1895737511.0,4997121.0,336479825.0,389992.0,22035444.0,21175913.0,2392335.0,407319447.0,10323360.0,7405273.0,3935194.0,1067184.0,18350216.0,338296950.0,4937318.0,19457436.0,82269917.0,19457647.0,5805668.0,304104528.0,154324906.0,57111690.0,134096033.0,148642883.0,98103138.0,32392744.0,92857510.0
belgium,1262614076.0,70012215.0,0.0,939103981.0,540083983.0,81262350.0,139035667.0,48764109.0,67876853.0,18664380.0,176504042.0,2467084529.0,2562508659.0,10391599.0,36042667.0,25005.0,118439526.0,78702654.0,101075352.0,141408850.0,118138661.0,65160306.0,32970134.0,91880802.0,247445903.0,3215736482.0,21940829.0,42214624.0,94541444.0,50718137.0,70294602.0,48538415.0,3788702.0,239408917.0,418290165.0,16901054.0,186096752.0,609153857.0,1485091327.0
brazil,9663880.0,9962575.0,16556048.0,0.0,36782898.0,918196214.0,209581864.0,24613517.0,6719181.0,143.0,20858183.0,72895499.0,133560085.0,2983313.0,84538.0,0.0,45503668.0,2908014.0,22046825.0,44577539.0,50468969.0,0.0,10.0,289489.0,95324926.0,52120885.0,3949905.0,25030291.0,48734992.0,34407708.0,53173167.0,204283.0,1026542.0,62204695.0,14690314.0,7983485.0,17696010.0,41895770.0,721735354.0
canada,503955764.0,3840049.0,16378389.0,906940622.0,0.0,91501196.0,323613110.0,3267058.0,11229151.0,206326.0,111485496.0,52620216.0,126024502.0,8225289.0,672862.0,659892.0,119051297.0,2192186.0,10315438.0,13658731.0,27736166.0,3131570.0,235305.0,109136.0,349311290.0,99337403.0,15570035.0,7070350.0,188064645.0,7705943.0,68999497.0,7704.0,10764.0,41948876.0,2103741.0,28676339.0,14169434.0,47248601.0,6468598031.0
chile,4787759.0,182414.0,13356993.0,24565846.0,61034448.0,0.0,30941203.0,1135629.0,2412337.0,3225.0,119993.0,12664393.0,30730994.0,577516.0,101996.0,4375414.0,7873486.0,976182.0,965428.0,7013406.0,4254576.0,23169.0,5661.0,0.0,143395375.0,13657816.0,8136762.0,314086.0,2103333.0,1667533.0,23123143.0,1405.0,579.0,12974931.0,110295.0,594323.0,5701104.0,1072739.0,173646922.0
china,70446169419.0,296446127.0,724222324.0,43933911443.0,12008737885.0,9226789560.0,0.0,135801034.0,405004233.0,29141759.0,1187727880.0,1120248388.0,2073718795.0,325151013.0,43996808.0,744613.0,5474746532.0,186942301.0,85474611.0,748547098.0,5484630258.0,48907476.0,53998323.0,1540947.0,3281492698.0,1419488600.0,2712022922.0,159891103.0,168838371.0,317485041.0,1625021532.0,19435255.0,20556106.0,1289136142.0,639577429.0,12469807.0,2907688773.0,1965398364.0,32881569735.0
czechia,109717862.0,135668277.0,65246965.0,7501760.0,10315843.0,3986578.0,66159078.0,0.0,24107880.0,3621827.0,10277471.0,59962982.0,605403285.0,1568497.0,38186059.0,6144.0,28157761.0,1944066.0,6913998.0,87879888.0,31033547.0,2044975.0,6918295.0,21057370.0,12625067.0,159051891.0,13997452.0,5406677.0,399014700.0,13028491.0,14816746.0,426369766.0,4461522.0,22046400.0,7813980.0,19231842.0,15588300.0,28678178.0,77434819.0
denmark,212580.0,6519006.0,37608523.0,9424292.0,18981876.0,31624230.0,28109063.0,3379009.0,0.0,88535578.0,102663401.0,46430448.0,372465819.0,32428442.0,9410181.0,18525770.0,14542400.0,14652098.0,7625341.0,37429231.0,6220489.0,164181940.0,83274820.0,937392.0,300421.0,362783600.0,5082285.0,179915980.0,213398581.0,69942347.0,5729179.0,4963855.0,1252990.0,62248968.0,558751918.0,2016435.0,8533360.0,65905264.0,66853995.0
estonia,177361.0,2437321.0,4498180.0,290599.0,2429793.0,169356.0,4820516.0,2048168.0,5292289.0,0.0,112981716.0,1040894.0,20778124.0,91916.0,301576.0,6.0,611830.0,167807.0,133550.0,2987848.0,16323.0,75594857.0,27404952.0,0.0,4577.0,20688867.0,1798544.0,12262574.0,7751351.0,5835.0,5265187.0,291593.0,6163.0,1588303.0,17256223.0,137724.0,1456560.0,1309804.0,17157963.0
finland,44766884.0,17326687.0,19803754.0,513717445.0,27095176.0,90286009.0,13834811.0,5261782.0,99382718.0,181190591.0,0.0,9001462.0,125084746.0,14578436.0,613928.0,22935.0,15600193.0,190908520.0,843833.0,15652706.0,5755710.0,113716129.0,62860696.0,16180.0,3693538.0,253737034.0,2357907.0,92283456.0,133890784.0,162890154.0,2494665.0,5164909.0,5.0,49328969.0,546736664.0,2839555.0,29045787.0,49958725.0,127446906.0
france,310186405.0,160496584.0,1359041426.0,1757543219.0,721129030.0,219466456.0,198060016.0,80610037.0,100155894.0,33281287.0,243457388.0,0.0,1858809324.0,39903035.0,35702031.0,3579153.0,91602801.0,193878769.0,35261369.0,452138335.0,67389963.0,46245192.0,39930102.0,88746409.0,30866457.0,1306396653.0,46989524.0,88809788.0,157102496.0,143079151.0,37134382.0,15865592.0,5099854.0,796350150.0,428142516.0,156301393.0,76294375.0,461463106.0,518814172.0
germany,1020827192.0,1532367902.0,1465026031.0,4973004447.0,1581734101.0,586519788.0,960613878.0,1438209027.0,923975367.0,128781081.0,740597965.0,2780503624.0,0.0,63555781.0,456411745.0,12142614.0,297806193.0,292024561.0,69811925.0,961879361.0,318359487.0,158807270.0,164696051.0,115875359.0,79291554.0,5551291572.0,42974227.0,570061187.0,1978927582.0,344565600.0,236558527.0,171035944.0,85388064.0,903198093.0,2358173470.0,862298496.0,264161344.0,1075172317.0,3109909725.0
greece,326731.0,11564249.0,22886684.0,20643317.0,41680409.0,2278830.0,48356080.0,2435123.0,36052656.0,221965.0,53762521.0,22836704.0,66187305.0,0.0,2147303.0,0.0,26883352.0,213342.0,19666870.0,62259556.0,2239705.0,152224.0,351273.0,512670.0,18709809.0,53747324.0,770288.0,7962216.0,5709778.0,1251609.0,4414376.0,3106635.0,2604991.0,62835989.0,25355941.0,723718.0,37957268.0,44920640.0,64831105.0
hungary,203716.0,94271064.0,27828131.0,3384688.0,5509229.0,5189632.0,6401672.0,33891087.0,12384865.0,5096257.0,4239100.0,67983959.0,269326403.0,1170915.0,0.0,0.0,3183562.0,428083.0,4714201.0,67861451.0,14182433.0,6214972.0,2491370.0,612134.0,3206794.0,210481429.0,895105.0,807233.0,45741051.0,468960.0,3504315.0,182612669.0,20349184.0,8708068.0,51918548.0,6292772.0,9131018.0,59296451.0,20156652.0
