,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,1133099981.0,1513067053.0,1509061927.0,951290111.0,775412718.0,3110968316.0,10375000921.0,191251734.0,5617113.0,1096866021.0,468995221.0,4111869464.0,15184274869.0,17322630.0,2081260380.0,308171643.0,173038362.0,1690867947.0,1894640803.0,1679642586.0,582500356.0,4509066081.0,20429981890.0
austria,130149378.0,0.0,2177061010.0,339303197.0,672086967.0,589293532.0,4333018373.0,56040042880.0,253900307.0,88981564.0,573995364.0,177135832.0,10024917108.0,2337399459.0,388931641.0,4336611076.0,391117009.0,641613715.0,2674222874.0,1681325008.0,6153115257.0,1494858255.0,2839543843.0,6300520603.0
belgium,981140522.0,2265126310.0,0.0,3239482179.0,1349225421.0,3140979963.0,37598360638.0,52779833170.0,302176450.0,335475090.0,22836091591.0,1514408768.0,13834186641.0,10406599436.0,1705022834.0,74835689110.0,6415511140.0,1220406336.0,8988308412.0,8290803795.0,5985115784.0,4928400640.0,19315240899.0,27632988386.0
canada,1213095196.0,1329263024.0,2624580112.0,0.0,931141618.0,933043667.0,4146979804.0,13320934631.0,165831721.0,90280338.0,1932584485.0,848270960.0,4845133307.0,11544126787.0,119600672.0,3166979631.0,1690915451.0,253996553.0,1938319383.0,1664016128.0,2749545434.0,1571813107.0,6122805128.0,207428224916.0
denmark,40535966.0,733509753.0,2544707511.0,289316842.0,0.0,1257083456.0,2517882549.0,19962087089.0,154931819.0,106785524.0,834029675.0,63021337.0,2582153702.0,334590208.0,161184909.0,6562053404.0,4898644686.0,163968690.0,1568165725.0,10342555946.0,511453950.0,619024723.0,2942444946.0,2232901722.0
finland,75621415.0,620124958.0,1297201450.0,654821092.0,1503189244.0,0.0,1952750524.0,10155036473.0,74730676.0,12166729.0,478510377.0,67197374.0,1618041580.0,769725626.0,74150352.0,2838792226.0,2123332544.0,309701478.0,1189313805.0,7211320715.0,564408442.0,548517308.0,1609954157.0,2032535243.0
france,1167886962.0,6229106200.0,42844923644.0,3178569764.0,2934352774.0,2892476016.0,0.0,92255487334.0,1116832209.0,354126750.0,6802535772.0,1225237470.0,39965256592.0,10013386745.0,1626078461.0,25967247521.0,4316016774.0,5892688476.0,38116807230.0,7254011528.0,11628058970.0,7536905448.0,20755323674.0,36646041913.0
germany,2242915807.0,40167398972.0,48289852301.0,4777819560.0,11806478507.0,9263381399.0,65065443126.0,0.0,1823947558.0,560355413.0,14288490965.0,1776835890.0,56257896899.0,23463992346.0,3298101765.0,89533539982.0,8160021587.0,5600311176.0,34022248990.0,16284248479.0,41611303780.0,13670211359.0,34723713236.0,64978613257.0
greece,18240474.0,430231602.0,1527604585.0,100291910.0,547464899.0,173639956.0,2123204693.0,5824208883.0,0.0,1284409.0,583158190.0,633711482.0,3936742515.0,488884552.0,47159425.0,2727889802.0,93062998.0,142993452.0,1797002232.0,473413182.0,405991072.0,1925066906.0,1192184240.0,699427787.0
iceland,336554146.0,29837334.0,80397539.0,122291995.0,404055714.0,69612699.0,182959800.0,597820715.0,8028080.0,0.0,34682584.0,18810437.0,175072766.0,141500876.0,7070878.0,447281829.0,855035873.0,13153777.0,109903017.0,282920138.0,54398822.0,44507741.0,350678770.0,590393744.0
ireland,83994161.0,268740169.0,1713001384.0,589473658.0,501588377.0,158308564.0,13052305553.0,11648437848.0,72277300.0,15246302.0,0.0,64852357.0,1487203317.0,1562548069.0,71132677.0,2921293680.0,1161248026.0,171993467.0,1467291703.0,730540161.0,689927086.0,557272594.0,18684852597.0,17020279816.0
israel,166905000.0,365579000.0,2995002000.0,303857000.0,180482000.0,259422000.0,1489912000.0,4186353000.0,388869000.0,2233000.0,567637000.0,0.0,2432791000.0,2536820000.0,25140000.0,1309263000.0,197997000.0,241194000.0,1407884000.0,370952000.0,1465750000.0,5568184000.0,1798964000.0,8891536000.0
italy,664010812.0,10164957198.0,19562739200.0,1683651273.0,2578950782.0,1788335323.0,35593265524.0,73320866286.0,2820716937.0,22631219.0,4495667657.0,823999155.0,0.0,4099053923.0,572364450.0,22127822057.0,1654962069.0,1612092267.0,19993817638.0,4950817816.0,8339753554.0,9724626705.0,10932347768.0,16817672928.0
japan,45371211022.0,1583728304.0,2935507820.0,11270399267.0,1917080869.0,1829795007.0,7613845381.0,22733037886.0,114599584.0,173647351.0,5104439019.0,991201298.0,5795213626.0,0.0,82431932.0,2855544264.0,1800915574.0,190049422.0,2585497335.0,2480072828.0,4124921241.0,541571160.0,6778069797.0,72129030043.0
luxembourg,6970027.0,125385210.0,5323656087.0,71245696.0,66214637.0,38785532.0,2458398803.0,4724666017.0,5831449.0,20963151.0,80981803.0,9011039.0,561956448.0,529922347.0,0.0,789199318.0,43184052.0,82978863.0,273206607.0,135098622.0,145087533.0,63899115.0,268273358.0,763865815.0
netherlands,1117793994.0,2896030416.0,45672642032.0,1630435696.0,3474487253.0,4856469014.0,16257879560.0,73713820317.0,494617869.0,1258907368.0,4752214293.0,1752818109.0,9816047615.0,7726559497.0,1063886783.0,0.0,9872058345.0,1799568463.0,8815019765.0,6870611610.0,1945980898.0,2953020066.0,25520729283.0,31017371201.0
norway,188839988.0,654716643.0,1188989102.0,2022534933.0,3716219984.0,1707947087.0,2421994384.0,8499457169.0,79214812.0,245340057.0,532407688.0,88655283.0,2237152056.0,1503043225.0,71959623.0,2801739775.0,0.0,195607194.0,1597519401.0,8855771806.0,811573661.0,533105322.0,4140805545.0,5935703155.0
portugal,30142955.0,443862842.0,2370518835.0,254920653.0,402647972.0,239858532.0,6204561128.0,12056460021.0,190877536.0,26179414.0,579630952.0,151803866.0,4176876625.0,439326427.0,81316941.0,4232157796.0,210316152.0,0.0,24832901065.0,855263893.0,346764495.0,1059904694.0,2104764303.0,1641584557.0
spain,759189177.0,2284394648.0,7621379328.0,1981184709.0,1840703207.0,1356742393.0,36210683730.0,42046891579.0,788527377.0,169906152.0,3013236617.0,589326766.0,21075616043.0,4487757036.0,484909754.0,12869040465.0,2362617878.0,10913697908.0,0.0,3282466732.0,4204923568.0,5271791590.0,11386429194.0,13997213937.0
sweden,320704664.0,1676439707.0,6243189354.0,350678564.0,9064745229.0,7050109288.0,5231703948.0,25554329900.0,149334925.0,24964092.0,1396632436.0,141558453.0,4115781053.0,1577729469.0,327836309.0,13686177958.0,13992230804.0,438114524.0,1996855507.0,0.0,942722249.0,980048298.0,7051716924.0,3790037004.0
switzerland,262713663.0,7391000052.0,3643292079.0,1561938179.0,626140450.0,599861698.0,10632488924.0,47071318146.0,131316037.0,27376696.0,8539532588.0,511291698.0,13529014276.0,2722404400.0,206681242.0,4403911936.0,347270532.0,722138543.0,4801458702.0,1096104185.0,0.0,919798721.0,6182239083.0,10321398693.0
turkey,680878809.0,1392117695.0,3448371779.0,1088855764.0,753648706.0,951107356.0,6938689230.0,18223942275.0,2054453309.0,26117429.0,776528773.0,1650109188.0,8976220369.0,3787349894.0,145774298.0,3088960363.0,716778844.0,575483214.0,5186546549.0,1648079883.0,1425589252.0,0.0,5586510767.0,11012999537.0
united kingdom,1702320524.0,4372505300.0,30410624909.0,4771203397.0,7672282486.0,3115519358.0,27860555880.0,79127429311.0,864601668.0,572606891.0,14825751503.0,1034541402.0,18312840685.0,11133944205.0,494533728.0,47466928155.0,25258709396.0,3329786743.0,16756408586.0,8716068649.0,4829541004.0,8296242224.0,0.0,47888919496.0
usa,7860122660.0,10832500691.0,15358868181.0,287225075694.0,7964160784.0,6917050945.0,35510235179.0,108668378549.0,1486489010.0,346165936.0,44145815752.0,18021264013.0,40058134553.0,130097712137.0,444128104.0,18670097392.0,6448091293.0,3003236805.0,14279518482.0,10289260677.0,26947489482.0,8470408338.0,45559201710.0,0.0
