Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,189888144,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,221642848,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,13932694,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1511,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,34946,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,318963,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,323309,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4226463,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1084,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,58,Belgium-Luxembourg,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8035498,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,58,Belgium-Luxembourg,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5717334,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,11628493,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,68639,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,149283,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,69905,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,577,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6296623,,,0
