Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,98161136,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,159579,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,1201,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,58,Belgium-Luxembourg,BEL,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,56595,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,21517,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,208,Denmark,DNK,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,27521,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,230,Fmr Ethiopia,ETH,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,26900,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,246,Finland,FIN,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,3731,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,251,France,FRA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,121941,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,251,France,FRA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,3871,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,280,Fmr Fed. Rep. of Germany,DEU,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,620171,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,300,Greece,GRC,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,7212,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,364,Iran,IRN,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,18350,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,381,Italy,ITA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,430612,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,404,Kenya,KEN,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,3758,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,528,Netherlands,NLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,529590,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,566,Nigeria,NGA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,6535,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,579,Norway,NOR,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,1779,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,620,Portugal,PRT,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,4879,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,624,Guinea-Bissau,GNB,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,505,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,642,Romania,ROU,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,135182,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,711,So. African Customs Union,ZAF,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,64794,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,724,Spain,ESP,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,656,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,752,Sweden,SWE,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,29662,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,757,Switzerland,CHE,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,43523,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,764,Thailand,THA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,1080,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,826,United Kingdom,GBR,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,854325,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,834,United Rep. of Tanzania,TZA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,4383,,,0
