Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,690942080,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,572766976,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,4,Afghanistan,AFG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,12579,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,32,Argentina,ARG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,73053,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,32,Argentina,ARG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,95645,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,36,Australia,AUS,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1563430,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,36,Australia,AUS,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,4861136,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,7491272,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,40,Austria,AUT,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,268148,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,44,Bahamas,BHS,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,3742,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,52,Barbados,BRB,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1996,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,58,Belgium-Luxembourg,BEL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,93376120,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,58,Belgium-Luxembourg,BEL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,33848176,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,68,Bolivia (Plurinational State of),BOL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1042,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,76,Brazil,BRA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,716856,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,76,Brazil,BRA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1175129,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1545239,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,334992,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1416,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,139981,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,108,Burundi,BDI,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,72200,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,120,Cameroon,CMR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,7677,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,124,Canada,CAN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,5564033,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,124,Canada,CAN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,9916076,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,140,Central African Rep.,CAF,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,5052134,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,152,Chile,CHL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,20281,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,156,China,CHN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,25096,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,156,China,CHN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,5665,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,170,Colombia,COL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,148986,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,170,Colombia,COL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,68998,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,178,Congo,COG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,129990,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,180,Dem. Rep. of the Congo,COD,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,63360,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,180,Dem. Rep. of the Congo,COD,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,189239,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,188,Costa Rica,CRI,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,17198,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,68766,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1918676,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,200,Czechoslovakia,CSK,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,195210,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,200,Czechoslovakia,CSK,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,112104,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,204,Benin,BEN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,17880,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,204,Benin,BEN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,71237,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,208,Denmark,DNK,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,2250029,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,208,Denmark,DNK,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,537220,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,218,Ecuador,ECU,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,154654,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,222,El Salvador,SLV,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,30711,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,226,Equatorial Guinea,GNQ,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,4204,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,230,Fmr Ethiopia,ETH,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,6681,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,230,Fmr Ethiopia,ETH,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1118694,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,246,Finland,FIN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,7350880,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,246,Finland,FIN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1307552,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,251,France,FRA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,28627584,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,251,France,FRA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,11398246,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,262,Djibouti,DJI,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,539,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,262,Djibouti,DJI,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,7068,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,266,Gabon,GAB,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,99979,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,266,Gabon,GAB,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,37248,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,278,Fmr Dem. Rep. of Germany,DDR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,24508,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,278,Fmr Dem. Rep. of Germany,DDR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,2824,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,280,Fmr Fed. Rep. of Germany,DEU,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,49504128,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,280,Fmr Fed. Rep. of Germany,DEU,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,38232332,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,288,Ghana,GHA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1028532,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,300,Greece,GRC,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1035449,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,300,Greece,GRC,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1930366,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,320,Guatemala,GTM,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,12976,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,324,Guinea,GIN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,43380,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,328,Guyana,GUY,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,3239,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,340,Honduras,HND,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,12354,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,344,"China, Hong Kong SAR",HKG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,536043,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,344,"China, Hong Kong SAR",HKG,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,59288188,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,348,Hungary,HUN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,3509522,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,348,Hungary,HUN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1763033,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,352,Iceland,ISL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,20134,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,352,Iceland,ISL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,97277,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,356,"India, excl. Sikkim",IND,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,129237,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,356,"India, excl. Sikkim",IND,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,112787,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,360,Indonesia,IDN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,6275,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,364,Iran,IRN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,148720,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,364,Iran,IRN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,22863052,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,372,Ireland,IRL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,382708,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,372,Ireland,IRL,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,55932,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,381,Italy,ITA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,36575520,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,381,Italy,ITA,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,5672317,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,384,Côte d'Ivoire,CIV,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,685336,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,392,Japan,JPN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,20926050,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,392,Japan,JPN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,65010400,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,404,Kenya,KEN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,9304,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,404,Kenya,KEN,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,1227152,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,410,Rep. of Korea,KOR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,71183,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,410,Rep. of Korea,KOR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,330786,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,430,Liberia,LBR,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,2858843,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,454,Malawi,MWI,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,5016,,,0
S1,1972,1972,1972,1,0,1,Import,376,Israel,ISR,458,Malaysia,MYS,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,17296,,,0
S1,1972,1972,1972,1,0,2,Export,376,Israel,ISR,458,Malaysia,MYS,,,,,,,,6,Manufact goods classified chiefly by material,1,No Quantity,,,,,,,6827580,,,0
