Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2007,2007,2007,1,0,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2128590600,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,12646383933,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,127164,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,901801,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,179685685,,,0
S4,2007,2007,2007,1,0,1,Import,554,New Zealand,NZL,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,38,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8249762,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9955231,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,683296,,,0
S4,2007,2007,2007,1,0,1,Import,554,New Zealand,NZL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,82685,,,0
S4,2007,2007,2007,1,0,2,Export,554,New Zealand,NZL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,36913078,,,0
S4,2007,2007,2007,1,0,1,Import,554,New Zealand,NZL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10329751,,,0
