Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,38893377266,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,41094106566,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,402150,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1433948,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2278392,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1453159,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2745,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,87821,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,20487684,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,881283830,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,56260,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,119410,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,39048667,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,19215,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,74594110,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2106826,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,179758,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3398372,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2365671,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,534723469,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6899417,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,41571044,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,76869216,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,161694450,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,238526608,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,39627548,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1938917,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1373,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9525805,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,11538819,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10150156,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1428799,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3272695,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,87842,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1196558,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4983168261,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4923633887,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,45293,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,923490,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8235,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6861,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6692433,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,69982,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3045633,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3386587,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4442864,,,0
S4,2007,2007,2007,1,0,2,Export,251,France,FRA,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,26072,,,0
S4,2007,2007,2007,1,0,1,Import,251,France,FRA,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1530397177,,,0
