Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S3,2008,2008,2008,1,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3687978836,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,15860742787,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,106793336,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,39497244,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4323977,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,42532337,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,61297,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,619,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,94925672,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,65703,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10998563,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,161210073,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1784065,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,151298483,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,97677141,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,286835,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4530995,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,23505,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,718976,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,53331687,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,58384030,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1143167361,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,13213604,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,110063,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6174067,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,213971341,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,262,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,237228,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5196238,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,56591,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,95520,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,544503,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,73908863,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10753872,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,24,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,203257,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9033510,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3565921,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5113696,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,508183072,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,20371550,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,120423,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,97894,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1072285,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2972481,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,807855,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10331292,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,567720069,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,124671675,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,132,Cabo Verde,CPV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9156,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,136,Cayman Isds,CYM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,33308,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,26165,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,102461846,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,387982353,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,148,Chad,TCD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1171135,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,21273301,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2711453,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,114514719,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,339818730,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,359244,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4337459,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,587383,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9234498,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,37802806,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,17423,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,319307,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,15718232,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,75299,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,13402,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9515570,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,862501,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2245751,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,204,Benin,BEN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,77929373,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,204,Benin,BEN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,15120712,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8530192,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,20732146,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,212,Dominica,DMA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,19989,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,214,Dominican Rep.,DOM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3664126,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3000,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2540607,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,222,El Salvador,SLV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,239288,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,222,El Salvador,SLV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,75543,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,226,Equatorial Guinea,GNQ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2916671,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3872981,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,23668075,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,232,Eritrea,ERI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,14386223,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,85326,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9879222,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,242,Fiji,FJI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,16807395,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,393203,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,24185534,,,0
S3,2008,2008,2008,1,0,1,Import,699,India,IND,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,50507773,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,166458952,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,258,French Polynesia,PYF,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,196090,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,262,Djibouti,DJI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,79493560,,,0
S3,2008,2008,2008,1,0,2,Export,699,India,IND,266,Gabon,GAB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,13254154,,,0
