Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2008,2008,2008,1,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,71656510764,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,43905006781,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,4,Afghanistan,AFG,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,30,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,8,Albania,ALB,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,355249,,,0
S4,2008,2008,2008,1,0,1,Import,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,2047320312,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,23798297,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,97895,,,0
S4,2008,2008,2008,1,0,1,Import,56,Belgium,BEL,24,Angola,AGO,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,31277952,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,2935926,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,28,Antigua and Barbuda,ATG,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,15010,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,16336399,,,0
S4,2008,2008,2008,1,0,1,Import,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,19543060,,,0
S4,2008,2008,2008,1,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,21998806,,,0
