,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,22891444.0,11078675.0,128446469.0,223637139.0,310204740.0,100180228.0,1220353769.0,2186567.0,271953974.0,157314.0,3874281.0,145901727.0,238225837.0,59779032.0,4535000.0,537984.0,260630196.0,434281788.0,50402757.0,357283035.0,3724130969.0,124103.0,1134932.0,270587.0,67622595.0,219041060.0,2193556187.0,41919666.0,29391419.0,5683587.0,948824660.0,1439893.0,1685403.0,80241760.0,11856251.0,94066772.0,86940863.0,352300554.0,2272702254.0
austria,16030327.0,0.0,264549958.0,169487208.0,10968584.0,25992227.0,104451852.0,536333927.0,139276999.0,12398903.0,24519508.0,502441925.0,6964148750.0,125457209.0,822391629.0,1990274.0,33113886.0,119542307.0,25726250.0,2444991231.0,86603735.0,7299539.0,20543312.0,7055837.0,7094138.0,855489581.0,40742695.0,29413594.0,524589280.0,24206884.0,69651486.0,213400659.0,444893621.0,458352946.0,82453366.0,603894597.0,133359970.0,222981055.0,97066320.0
belgium,136889962.0,430137537.0,0.0,1350267789.0,360707374.0,86702340.0,343839273.0,279101731.0,542511228.0,30929568.0,226449141.0,14293024661.0,9479001470.0,398866301.0,274975109.0,88174715.0,207235318.0,540960093.0,182455779.0,2197766629.0,220829224.0,21285455.0,80940099.0,770724478.0,103354923.0,13643972110.0,549339657.0,114114339.0,764734386.0,270076254.0,95322428.0,92431046.0,31135668.0,1871042152.0,563031101.0,251605009.0,218055180.0,3753150606.0,656122644.0
brazil,192537096.0,16184223.0,1496889726.0,880015.0,585807441.0,480160682.0,358249019.0,12574243.0,136938031.0,6586015.0,113138230.0,1332094921.0,2128025042.0,153891669.0,7602856.0,7896185.0,80242125.0,113170995.0,236600901.0,975577318.0,1720178183.0,31842738.0,9511956.0,438415.0,100000155.0,3495613813.0,39140456.0,257829645.0,37516259.0,272429799.0,437272121.0,1252834.0,244923052.0,764293694.0,140862696.0,247027804.0,130068152.0,994499406.0,2747455508.0
canada,317016650.0,32292056.0,298509638.0,779128816.0,46149931.0,565055981.0,1175122178.0,21377260.0,161377046.0,9721563.0,20112159.0,307675964.0,308094699.0,77406839.0,9482371.0,32296491.0,579261659.0,67514578.0,31751214.0,564598327.0,2154767296.0,2430463.0,9373412.0,192937.0,1354555911.0,179767352.0,320206970.0,59508492.0,45135392.0,42924802.0,348593953.0,2286849.0,2930633.0,206301114.0,53749012.0,144079333.0,370326792.0,650310099.0,31124156532.0
chile,99112053.0,5487750.0,96732821.0,516467079.0,262577127.0,0.0,413599788.0,1955544.0,43411327.0,5017386.0,7337443.0,250141967.0,463070119.0,17584052.0,2536697.0,704897.0,16977893.0,17613555.0,17952425.0,255281823.0,1175923514.0,10941728.0,8932658.0,157820.0,536958073.0,485038104.0,32728871.0,13026711.0,32906951.0,35802316.0,221995691.0,151441.0,320601.0,420027502.0,19945681.0,17892852.0,11839295.0,332150251.0,3248131872.0
china,1256532199.0,17781340.0,345058724.0,346345969.0,1104656500.0,493867488.0,22679577.0,32980083.0,480467257.0,25394130.0,46853596.0,879877034.0,1275194582.0,40661506.0,14839810.0,30509747.0,523496280.0,85027200.0,127628343.0,428775638.0,7132544351.0,13393526.0,39240965.0,1374302.0,348117211.0,1080558641.0,743011085.0,221884469.0,137812235.0,86180193.0,2832283004.0,10262155.0,19309587.0,538755689.0,141179655.0,33317240.0,97442750.0,675228753.0,7314080392.0
czechia,1676887.0,543933178.0,239639143.0,155283198.0,33262605.0,22659718.0,104414303.0,0.0,98559222.0,10754457.0,22495036.0,289469390.0,2425193999.0,64710478.0,494512742.0,3405442.0,17124328.0,32598566.0,17994114.0,500934919.0,23913918.0,11002797.0,31397715.0,477790.0,5324102.0,458755274.0,3517278.0,24461294.0,1400793042.0,4777676.0,1478723.0,1745664157.0,28679404.0,348814376.0,47578816.0,52529787.0,60730840.0,218429943.0,77132609.0
denmark,254324984.0,141635874.0,498192749.0,199255409.0,243402489.0,82121310.0,403915618.0,82568931.0,0.0,92766422.0,431820509.0,1025080049.0,5987792050.0,266636840.0,63478046.0,161736630.0,42684958.0,310646678.0,30205475.0,1433758240.0,915036440.0,110096379.0,133775627.0,12425852.0,19159988.0,1906743891.0,146294892.0,981648282.0,948824184.0,90406515.0,78280816.0,25272773.0,18632103.0,891991701.0,2877000553.0,167010057.0,70850897.0,2297795350.0,542109279.0
estonia,616401.0,15054272.0,30201242.0,15699100.0,14110303.0,8815471.0,17936054.0,13137084.0,86699224.0,908701.0,234998450.0,28121337.0,127054037.0,3811604.0,17148030.0,1914806.0,4856231.0,2281554.0,2278601.0,28920667.0,1583873.0,245032556.0,215535554.0,493457.0,123834.0,77687690.0,1560187.0,35243678.0,95492906.0,4269158.0,344275.0,3735896.0,83150.0,45368661.0,71719592.0,9924363.0,4601513.0,21447217.0,10968781.0
