,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,287220007.0,168505122.0,592831442.0,232544126.0,210444090.0,438566376.0,6221820026.0,49717470.0,75798780.0,842950.0,336167390.0,401979548.0,951005124.0,67721675.0,20760848.0,3630191.0,758689679.0,11798068.0,189860068.0,796483523.0,3728262686.0,1358074.0,11918004.0,11544126.0,133298182.0,168717142.0,2151401870.0,32482133.0,26869495.0,49976873.0,1904288286.0,11154760.0,11640123.0,237845756.0,388557396.0,128251705.0,143311151.0,1042904905.0,2730313072.0
austria,181759406.0,0.0,1102819259.0,370318144.0,418058762.0,46926823.0,1151259911.0,2709734283.0,355824959.0,32447843.0,436993995.0,2561736093.0,24567891250.0,237737030.0,2102832813.0,14390058.0,388860183.0,97127415.0,80543124.0,6899045668.0,445502440.0,44969237.0,58866056.0,212063302.0,161666858.0,1452634756.0,55905758.0,307328119.0,1843247442.0,227925675.0,219533684.0,1565734670.0,1437835706.0,941360036.0,1108686427.0,3032093812.0,633054165.0,1510707419.0,1551212117.0
belgium,611429407.0,1473888737.0,0.0,960738477.0,1358442541.0,143292325.0,6928329732.0,1487450583.0,756920925.0,78895257.0,1433838178.0,24509672074.0,27485088894.0,312061541.0,592169027.0,24272667.0,9462770094.0,364416013.0,4614017441.0,6068368200.0,1331147363.0,70454571.0,83379183.0,2133218401.0,381687875.0,17933444302.0,32993673.0,655556334.0,2320695856.0,728985930.0,1040690704.0,445728650.0,200559870.0,3303417419.0,2233249234.0,2455506805.0,1634664524.0,10807996698.0,4718132544.0
brazil,243842367.0,298458705.0,854475474.0,18624683.0,633948673.0,2879311280.0,4255655487.0,84423759.0,44140425.0,17776599.0,295208990.0,877996572.0,2329820483.0,43292560.0,20700536.0,354800.0,693287050.0,30300143.0,74925422.0,1826270560.0,1918697564.0,4371823.0,7920701.0,49309855.0,1234989285.0,1903260106.0,7786520.0,129243987.0,101520422.0,207392644.0,1558866695.0,17141194.0,12620769.0,1051466620.0,387752759.0,611564799.0,162591499.0,730504400.0,8681461444.0
canada,261358336.0,239975183.0,1669722941.0,776340264.0,378419200.0,860085634.0,7187961582.0,133344002.0,87129362.0,7730727.0,238170001.0,789612275.0,1568815904.0,46847324.0,50323948.0,13668610.0,965918666.0,55787905.0,336539691.0,1258148926.0,2398392495.0,13683120.0,7971260.0,79821804.0,1558290228.0,1198908807.0,48198456.0,450610663.0,139073627.0,154128981.0,1014960670.0,16499799.0,11600006.0,409516049.0,357056067.0,157782142.0,454931326.0,2310122381.0,79600384172.0
chile,206834207.0,39575092.0,309971012.0,2909260656.0,739856459.0,0.0,6177982752.0,4910869.0,45476007.0,64289.0,125837918.0,1853278365.0,697680982.0,10381784.0,1022466.0,68978.0,185972179.0,1784178.0,9247727.0,2744000371.0,698073298.0,6589.0,4651751.0,8078211.0,1227679656.0,2264756339.0,9937868.0,6335963.0,13138130.0,55997336.0,1830577166.0,604102.0,2016100.0,916515096.0,135412058.0,91202735.0,336964078.0,110686484.0,4061299580.0
china,6382855035.0,682398261.0,6587516029.0,4871895818.0,5488426150.0,7270575813.0,6471685712.0,383341932.0,942550648.0,196179993.0,1436074340.0,3635612688.0,11678296003.0,1060040808.0,204680385.0,48393565.0,8172813625.0,401767355.0,1474247203.0,9717237116.0,38779782202.0,227266569.0,288085889.0,187559132.0,2314520430.0,5576988018.0,655110946.0,740197566.0,2068501040.0,660877964.0,36698122915.0,108966774.0,231285579.0,4386486432.0,1810154066.0,1311712565.0,3165388874.0,6836716630.0,42428468484.0
czechia,42963240.0,2757456356.0,1512578086.0,103848613.0,94358863.0,34626485.0,1134751957.0,275438.0,377382761.0,69770761.0,428818706.0,2297213294.0,17656320929.0,115865229.0,1445414917.0,50298839.0,222403096.0,52092981.0,70617791.0,3177299420.0,408445726.0,56097724.0,118943590.0,343842370.0,41828482.0,1523859388.0,8771115.0,263747631.0,4722098272.0,166183435.0,260998881.0,5329795035.0,446399780.0,955975299.0,973037279.0,559877766.0,348520295.0,1507234310.0,1032015820.0
denmark,78682420.0,501990896.0,772805736.0,65643253.0,99839347.0,41475670.0,1093082641.0,389703797.0,0.0,179945619.0,1123391241.0,1268693571.0,7470918832.0,65266560.0,161429573.0,85592368.0,168827213.0,151911844.0,20935832.0,1117231241.0,95007100.0,203652034.0,274873976.0,120290857.0,22529175.0,1364661642.0,12109803.0,1669598950.0,1428380333.0,125827203.0,167508235.0,176841841.0,41623760.0,611814475.0,4522985321.0,201448762.0,158415963.0,2060412066.0,455557638.0
estonia,514532.0,24452706.0,82006884.0,25869093.0,4764172.0,99517.0,176270743.0,74326960.0,143940307.0,2052828.0,950803523.0,66946017.0,516342092.0,4869535.0,9593885.0,12087963.0,21720381.0,11230372.0,4636722.0,116354503.0,206166863.0,295899030.0,171842549.0,20474907.0,521049.0,79884476.0,218442.0,167343185.0,264349510.0,13890901.0,31123594.0,25543045.0,6838988.0,46347644.0,496300241.0,19643950.0,47599498.0,88486249.0,52596486.0
