,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,3328380.0,32067554.0,149214544.0,132046863.0,574826532.0,105502271.0,20657399663.0,83818818.0,2776146.0,8825725.0,602337078.0,209775669.0,278539822.0,4020472.0,905697.0,85454.0,1226236080.0,3027837.0,3459440.0,355763839.0,8886259737.0,96095.0,2947801.0,0.0,77866412.0,447321611.0,400188075.0,80931549.0,2788568.0,2096052.0,4141516023.0,248068.0,6620501.0,73313831.0,4491524.0,31009306.0,22977860.0,142327367.0,333100505.0
austria,47309149.0,0.0,65014425.0,62477700.0,16698743.0,9438208.0,108315318.0,763570808.0,35021958.0,5088966.0,71866631.0,189775956.0,3407951639.0,41119248.0,533082028.0,580521.0,11793633.0,14952794.0,20175906.0,2143937901.0,128505861.0,6604803.0,11382253.0,1630451.0,3293025.0,386567201.0,2840015.0,4256678.0,129281110.0,77598609.0,3287031.0,286851204.0,288036077.0,83191282.0,117946041.0,354757787.0,65754123.0,97700144.0,75266958.0
belgium,153181022.0,208980599.0,0.0,1457377272.0,747533325.0,100423004.0,831307965.0,129663553.0,128136896.0,14585770.0,354484316.0,5285305878.0,4643514391.0,70188237.0,43391938.0,8090181.0,219603854.0,66422898.0,96651432.0,496157775.0,283976386.0,41227114.0,53359885.0,599261654.0,71668851.0,5339679993.0,27770812.0,83011749.0,190894790.0,76340895.0,95965080.0,38497928.0,18593524.0,546658656.0,435414133.0,123500674.0,509563095.0,1033761145.0,791991868.0
brazil,110301651.0,114140050.0,1168792468.0,663221.0,1047457292.0,1081153114.0,11687654546.0,8478321.0,26151806.0,1668908.0,170108250.0,1310070138.0,2537691724.0,72788834.0,3008898.0,11057883.0,366213291.0,61380475.0,92062080.0,1758010559.0,2740537321.0,1621018.0,4441134.0,42084115.0,210330811.0,2376704180.0,3440453.0,650909785.0,45349581.0,392411930.0,1374633856.0,296.0,3097782.0,1780961422.0,103978806.0,184494588.0,376539326.0,743855603.0,2741309640.0
canada,821070104.0,14487424.0,788681812.0,1016848609.0,17249686.0,192119490.0,4872568261.0,7268027.0,33558932.0,7720310.0,369832395.0,396498463.0,1525988834.0,34947444.0,1911048.0,2223382.0,308192118.0,29084068.0,73542707.0,492254520.0,3853755926.0,2220486.0,3962667.0,5849294.0,1047472192.0,683042211.0,70960079.0,2142773976.0,97980528.0,51869247.0,1045615915.0,468010.0,25892831.0,223755972.0,96786720.0,22634682.0,332011112.0,1159871261.0,20587858045.0
chile,75168670.0,1546020.0,115048167.0,1061963368.0,167689206.0,0.0,3496146749.0,822794.0,17889912.0,0.0,141902665.0,133000232.0,683266779.0,48627.0,106596.0,2754635.0,1274852394.0,3388221.0,26590769.0,365965741.0,4417238051.0,143928.0,126318.0,0.0,565492393.0,910059704.0,8636974.0,26530651.0,140824196.0,4202800.0,1337616116.0,0.0,154259.0,573093852.0,214108664.0,2284282.0,30410601.0,85835609.0,892569751.0
china,31746549508.0,112661924.0,648240622.0,24166433803.0,5554013150.0,4797231800.0,81937680.0,33367060.0,164502228.0,19298111.0,363779983.0,845511236.0,1343537015.0,127875173.0,11851334.0,773739.0,16469881116.0,152744118.0,60686499.0,917927565.0,5929443461.0,8473467.0,9683052.0,1201361.0,1138190508.0,2138875737.0,792496432.0,129163584.0,262201534.0,82085476.0,2662688364.0,28989578.0,12712225.0,2641290665.0,175844354.0,32822281.0,1610549986.0,1222779028.0,20517484845.0
czechia,108009304.0,708941002.0,94792679.0,58013405.0,63927462.0,5488719.0,56793280.0,0.0,34796996.0,7788676.0,22337756.0,133265013.0,1879354840.0,19302860.0,76269071.0,46420.0,20675644.0,2022877.0,10274002.0,430265240.0,38932022.0,3968265.0,9075027.0,8202726.0,12355946.0,240475225.0,8074634.0,11413309.0,525141408.0,17635276.0,15853052.0,729796503.0,87400971.0,46045440.0,30252137.0,34364679.0,38547606.0,75593479.0,88826237.0
denmark,5850527.0,59406832.0,81024383.0,36328275.0,46216362.0,13946816.0,232705664.0,14310009.0,0.0,68826481.0,271883263.0,193603029.0,1350311857.0,57736210.0,24124216.0,25081115.0,48205024.0,12429853.0,14461460.0,143671328.0,24801148.0,81733573.0,102641011.0,5322121.0,1110979.0,549150914.0,9292531.0,285625334.0,161246256.0,52292154.0,21091032.0,17887940.0,5192156.0,115935456.0,1155893159.0,36262977.0,196298104.0,190218939.0,85015412.0
estonia,8940652.0,6328026.0,16364403.0,2641441.0,7640231.0,215968.0,37296982.0,7459075.0,64823055.0,322523.0,235995521.0,30667870.0,85351609.0,1723746.0,2710964.0,9697651.0,14140130.0,810559.0,322538.0,19798020.0,9323793.0,129647997.0,33261929.0,1168.0,41907.0,67508437.0,1595492.0,26273493.0,14557126.0,4858590.0,13148899.0,3791532.0,725930.0,16203356.0,132124559.0,579298.0,209790645.0,69299966.0,10827884.0
