,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,383694615.0,211803329.0,1453485225.0,1605250376.0,1101524944.0,754495165.0,29305951013.0,135792992.0,357991035.0,9877886.0,1021035547.0,1396199724.0,1970451182.0,137130065.0,26384519.0,4253629.0,6999417462.0,496978732.0,380435214.0,2004820227.0,36783709573.0,1642440.0,16545967.0,11875238.0,449630714.0,2147281504.0,7074292175.0,155892329.0,68523192.0,57760817.0,14780611220.0,12842721.0,19946027.0,818432556.0,774206533.0,253648030.0,823292448.0,2353293022.0,6848713952.0
austria,245134772.0,0.0,1538599013.0,602819573.0,445935929.0,82362406.0,1364775169.0,5341191836.0,546447255.0,51935156.0,534247245.0,3346460456.0,42751403929.0,405908302.0,4814518390.0,16985289.0,433848698.0,231971828.0,126450004.0,12237855932.0,661592218.0,61598747.0,94288702.0,221328388.0,179313410.0,2783883828.0,99490158.0,341198153.0,3211468337.0,329783935.0,327557642.0,3422955441.0,2377379633.0,1486340960.0,1312950202.0,4141801864.0,840237641.0,1873528172.0,1837023757.0
belgium,1634343663.0,2225965156.0,0.0,3914456101.0,2887683329.0,331517657.0,8480618777.0,1930057911.0,1593961205.0,173570529.0,2482399274.0,56286788877.0,51430926755.0,827016998.0,924897555.0,126433503.0,10317653068.0,1070459295.0,4908876753.0,9098694732.0,2018022117.0,152883180.0,249143317.0,6736838738.0,685625030.0,85998034602.0,615684364.0,6684370373.0,3446583508.0,1315395667.0,1451376164.0,586151054.0,261071589.0,6786879653.0,4068155726.0,3937842668.0,2441761789.0,22020060183.0,9977589782.0
brazil,1527751446.0,429337916.0,3628935207.0,81610586.0,2530106510.0,5948118580.0,18651171377.0,110560979.0,268816958.0,26043327.0,588681955.0,3772324315.0,7185096677.0,274872819.0,31312290.0,19308868.0,2859693957.0,204851613.0,447604321.0,4747836992.0,6537322585.0,37856040.0,26224551.0,91835349.0,1549075286.0,9101093149.0,71518339.0,1162189593.0,196208861.0,1706954293.0,3498393577.0,18394324.0,260641603.0,4000093388.0,701948374.0,1104136648.0,685558673.0,2779183780.0,21796938287.0
canada,1403100107.0,287019705.0,3538943976.0,2903548341.0,471780245.0,1746266854.0,13758597183.0,162114589.0,481512266.0,25247076.0,1005444331.0,2073466785.0,3725487227.0,159838680.0,76820186.0,48250675.0,1861018585.0,152459156.0,486974497.0,2742527352.0,10646040575.0,39401449.0,288686345.0,85864035.0,5052935997.0,3511931198.0,439699020.0,8080594387.0,372393013.0,360775893.0,3789522752.0,48919633.0,40447129.0,1337545440.0,626886888.0,332674925.0,1374410097.0,9697152537.0,264185885693.0
chile,489163861.0,46634188.0,523399394.0,6212686573.0,1580638666.0,0.0,10134566111.0,7689207.0,106793644.0,5133075.0,275168695.0,2238974858.0,1854147641.0,28138967.0,3706805.0,3528510.0,1478094570.0,22985283.0,53920705.0,3365778228.0,7140540619.0,11634365.0,13710727.0,8236031.0,2331289289.0,3661858224.0,66368168.0,76305371.0,186885397.0,96023742.0,4776287572.0,755543.0,2490960.0,1911837043.0,369704306.0,111461923.0,1067874790.0,561456220.0,12333068730.0
china,41321937337.0,832446680.0,7931203759.0,32483867305.0,12668132105.0,12597951510.0,6582131770.0,451749127.0,1610274396.0,241750384.0,1903258967.0,5953322241.0,14812945741.0,1301595228.0,231392501.0,79677051.0,26237330927.0,639582219.0,1697305301.0,11234979661.0,61399977071.0,252147889.0,339960809.0,225369058.0,3896447640.0,9364812594.0,2286077824.0,1105975313.0,2476823651.0,832647254.0,55794205330.0,148287314.0,263367378.0,7626331631.0,2178492378.0,1401552744.0,5134125792.0,9112500089.0,73324151286.0
czechia,162300808.0,5407500909.0,1880730533.0,317159089.0,192409119.0,62774922.0,1298347205.0,275438.0,511109304.0,88897870.0,502939057.0,2767423750.0,24463873421.0,200116195.0,2210906423.0,54127561.0,266454812.0,86715402.0,100319954.0,4146348304.0,473785843.0,72495390.0,163151622.0,352533338.0,59509152.0,2255391603.0,20363027.0,884884316.0,8122967006.0,188598302.0,290019285.0,10460552706.0,587873259.0,1353075107.0,1053690994.0,669946464.0,450791754.0,1923472261.0,1251044731.0
denmark,346634888.0,703052697.0,1432283279.0,359525038.0,522092648.0,137544771.0,1730955827.0,486600649.0,0.0,396387417.0,2250002334.0,3066509091.0,16123856175.0,411695088.0,252726167.0,273496041.0,259789078.0,690645123.0,100003921.0,2697150247.0,1035049284.0,457930778.0,708266271.0,138039209.0,57872564.0,4331275628.0,167702161.0,6082774375.0,2817378705.0,281717303.0,338313135.0,220119148.0,65454134.0,1639285724.0,15568586033.0,405314180.0,443488186.0,6916031100.0,1659322156.0
estonia,10156338.0,47707666.0,183085231.0,44484858.0,84693339.0,9194193.0,232777964.0,95445488.0,319161496.0,3288223.0,1655653593.0,131827073.0,770264982.0,15437345.0,29790407.0,24050065.0,40881323.0,15487731.0,8543084.0,171635051.0,218539184.0,793968041.0,1108778494.0,20969532.0,38488879.0,279024863.0,3396419.0,251089437.0,514224798.0,23584631.0,45063074.0,33206692.0,7664252.0,115213732.0,830902811.0,35811165.0,263497320.0,245117020.0,672121959.0
finland,1105054631.0,406237931.0,1831118282.0,842594398.0,1129823956.0,389161375.0,1318690534.0,390873075.0,1868618888.0,1503317882.0,0.0,2029612774.0,7738296274.0,437012626.0,208602013.0,36152927.0,314628076.0,271298055.0,136088210.0,1762285318.0,626267126.0,430062947.0,308022491.0,92644565.0,179914187.0,5057292345.0,67464996.0,2713583081.0,2336310670.0,370801222.0,272513203.0,105562505.0,94717190.0,1532066082.0,9466867935.0,330004012.0,535878347.0,3393575661.0,2804663281.0
