,Partner,Reporter,Trade Flow,Trade Value (US$)
0,australia,australia,import,22891444.0
1,australia,austria,export,10281399.0
2,australia,austria,import,5748928.0
3,australia,belgium,export,88635334.0
4,australia,belgium,import,48254628.0
5,australia,brazil,export,186792567.0
6,australia,brazil,import,5744529.0
7,australia,canada,export,183187320.0
8,australia,canada,import,133829330.0
9,australia,chile,export,36840721.0
10,australia,chile,import,62271332.0
11,australia,china,export,504318614.0
12,australia,china,import,752213585.0
13,australia,czechia,export,1086857.0
14,australia,czechia,import,590030.0
15,australia,denmark,export,248056555.0
16,australia,denmark,import,6268429.0
17,australia,estonia,export,589335.0
18,australia,estonia,import,27066.0
19,australia,finland,export,1514186.0
20,australia,finland,import,728058.0
21,australia,france,export,85850290.0
22,australia,france,import,61443064.0
23,australia,germany,export,167043424.0
24,australia,germany,import,124618432.0
25,australia,greece,export,55497891.0
26,australia,greece,import,2316601.0
27,australia,hungary,export,3652000.0
28,australia,hungary,import,177000.0
29,australia,iceland,export,416933.0
30,australia,iceland,import,120731.0
31,australia,ireland,export,84979210.0
32,australia,ireland,import,2171316.0
33,australia,israel,export,10972000.0
34,australia,israel,import,61745000.0
35,australia,italy,export,298085652.0
36,australia,italy,import,50883005.0
37,australia,japan,export,40762997.0
38,australia,japan,import,4458515538.0
39,australia,latvia,export,193352.0
40,australia,latvia,import,704.0
41,australia,lithuania,export,151992.0
42,australia,lithuania,import,28169.0
43,australia,luxembourg,import,1563164.0
44,australia,mexico,export,13984041.0
45,australia,mexico,import,89883892.0
46,australia,netherlands,export,95505665.0
47,australia,netherlands,import,83543752.0
48,australia,new zealand,export,1262127837.0
49,australia,new zealand,import,1107120634.0
50,australia,norway,export,30324407.0
51,australia,norway,import,9838672.0
52,australia,poland,export,21750787.0
53,australia,poland,import,1863745.0
54,australia,portugal,export,3741550.0
55,australia,portugal,import,6134794.0
56,australia,rep. of korea,export,65597615.0
57,australia,rep. of korea,import,1641954925.0
58,australia,slovakia,export,153666.0
59,australia,slovakia,import,755989.0
60,australia,slovenia,export,717148.0
61,australia,slovenia,import,194253.0
62,australia,spain,export,54313555.0
63,australia,spain,import,25647455.0
64,australia,sweden,export,10715436.0
65,australia,sweden,import,2974590.0
66,australia,switzerland,export,69391338.0
67,australia,switzerland,import,51154511.0
68,australia,turkey,export,82632710.0
69,australia,turkey,import,14445162.0
70,australia,united kingdom,export,140999119.0
71,australia,united kingdom,import,252632108.0
72,australia,usa,export,738130444.0
73,australia,usa,import,1627527318.0
74,austria,australia,export,700320.0
75,austria,australia,import,10378355.0
76,austria,belgium,export,356414938.0
77,austria,belgium,import,73722599.0
78,austria,brazil,export,12382836.0
79,austria,brazil,import,3801387.0
80,austria,canada,export,27468330.0
81,austria,canada,import,4823726.0
82,austria,chile,export,4715291.0
83,austria,chile,import,772459.0
84,austria,china,export,8995527.0
85,austria,china,import,8785813.0
86,austria,czechia,export,241799509.0
87,austria,czechia,import,302133669.0
88,austria,denmark,export,78396248.0
89,austria,denmark,import,63239626.0
90,austria,estonia,export,6729819.0
91,austria,estonia,import,8324453.0
92,austria,finland,export,5575580.0
93,austria,finland,import,19670409.0
94,austria,france,export,275770031.0
95,austria,france,import,195764948.0
96,austria,germany,export,4696184375.0
97,austria,germany,import,2629066207.0
98,austria,greece,export,56956780.0
99,austria,greece,import,84337971.0
100,austria,hungary,export,443876000.0
101,austria,hungary,import,329651000.0
102,austria,iceland,export,479962.0
103,austria,iceland,import,2860644.0
104,austria,ireland,export,19940196.0
105,austria,ireland,import,17525074.0
106,austria,israel,export,14030000.0
107,austria,israel,import,10622000.0
108,austria,italy,export,1077025252.0
109,austria,italy,import,1443169247.0
110,austria,japan,export,1336225.0
111,austria,japan,import,101973693.0
112,austria,latvia,export,1101529.0
113,austria,latvia,import,6855826.0
114,austria,lithuania,export,10399743.0
115,austria,lithuania,import,21263760.0
116,austria,luxembourg,export,4269149.0
117,austria,luxembourg,import,3306795.0
118,austria,mexico,export,985951.0
119,austria,mexico,import,3070150.0
120,austria,netherlands,export,668569127.0
121,austria,netherlands,import,230429752.0
122,austria,new zealand,export,8759500.0
123,austria,new zealand,import,461400.0
124,austria,norway,export,7162553.0
125,austria,norway,import,19488197.0
126,austria,poland,export,286192229.0
127,austria,poland,import,126635826.0
128,austria,portugal,export,11472451.0
129,austria,portugal,import,15738684.0
130,austria,rep. of korea,export,734470.0
131,austria,rep. of korea,import,66213398.0
132,austria,slovakia,export,130157349.0
133,austria,slovakia,import,109361851.0
134,austria,slovenia,export,88716053.0
135,austria,slovenia,import,293879856.0
136,austria,spain,export,216318546.0
137,austria,spain,import,151838842.0
138,austria,sweden,export,33398759.0
139,austria,sweden,import,56626356.0
140,austria,switzerland,export,305377214.0
141,austria,switzerland,import,288702579.0
142,austria,turkey,export,93893501.0
143,austria,turkey,import,9079298.0
144,austria,united kingdom,export,55050674.0
145,austria,united kingdom,import,142068937.0
146,austria,usa,export,61941541.0
147,austria,usa,import,34293770.0
148,belgium,australia,export,36271481.0
149,belgium,australia,import,92174988.0
150,belgium,austria,export,84682300.0
151,belgium,austria,import,179867658.0
152,belgium,brazil,export,1396190638.0
153,belgium,brazil,import,100699088.0
154,belgium,canada,export,202232149.0
155,belgium,canada,import,96277489.0
156,belgium,chile,export,80930930.0
157,belgium,chile,import,15801891.0
158,belgium,china,export,311618015.0
159,belgium,china,import,33440709.0
160,belgium,czechia,export,72931804.0
161,belgium,czechia,import,166707339.0
162,belgium,denmark,export,152054103.0
163,belgium,denmark,import,346138646.0
164,belgium,estonia,export,6076119.0
165,belgium,estonia,import,24125123.0
166,belgium,finland,export,37591637.0
167,belgium,finland,import,145309457.0
168,belgium,france,export,5681960417.0
169,belgium,france,import,5737170739.0
170,belgium,germany,export,3095343795.0
171,belgium,germany,import,4023467064.0
172,belgium,greece,export,58910214.0
173,belgium,greece,import,386987401.0
174,belgium,hungary,export,113430000.0
175,belgium,hungary,import,96093000.0
176,belgium,iceland,export,65143989.0
177,belgium,iceland,import,13446735.0
178,belgium,ireland,export,249227455.0
179,belgium,ireland,import,207345360.0
180,belgium,israel,export,77011000.0
181,belgium,israel,import,62256000.0
182,belgium,italy,export,819015573.0
183,belgium,italy,import,1224852894.0
184,belgium,japan,export,6929984.0
185,belgium,japan,import,166158469.0
186,belgium,latvia,export,1828266.0
187,belgium,latvia,import,25873057.0
188,belgium,lithuania,export,33701596.0
189,belgium,lithuania,import,63460419.0
190,belgium,luxembourg,export,125993880.0
191,belgium,luxembourg,import,505929914.0
192,belgium,mexico,export,70026030.0
193,belgium,mexico,import,29739365.0
194,belgium,netherlands,export,5561477951.0
195,belgium,netherlands,import,4718235714.0
196,belgium,new zealand,export,256632083.0
197,belgium,new zealand,import,17062792.0
198,belgium,norway,export,61449163.0
199,belgium,norway,import,146471816.0
200,belgium,poland,export,286752938.0
201,belgium,poland,import,257879601.0
202,belgium,portugal,export,65529648.0
203,belgium,portugal,import,185695933.0
204,belgium,rep. of korea,export,4042790.0
205,belgium,rep. of korea,import,101233007.0
206,belgium,slovakia,export,35064247.0
207,belgium,slovakia,import,42070052.0
208,belgium,slovenia,export,743813.0
209,belgium,slovenia,import,30625369.0
210,belgium,spain,export,853813117.0
211,belgium,spain,import,881487192.0
212,belgium,sweden,export,109167918.0
213,belgium,sweden,import,384537552.0
214,belgium,switzerland,export,117309963.0
215,belgium,switzerland,import,154601400.0
216,belgium,turkey,export,169360285.0
217,belgium,turkey,import,33060989.0
218,belgium,united kingdom,export,547900618.0
219,belgium,united kingdom,import,2723495475.0
220,belgium,usa,export,373150501.0
221,belgium,usa,import,247515940.0
222,brazil,australia,export,8186645.0
223,brazil,australia,import,215450494.0
224,brazil,austria,export,2781448.0
225,brazil,austria,import,166705760.0
226,brazil,belgium,export,161631824.0
227,brazil,belgium,import,1188635965.0
228,brazil,brazil,import,880015.0
229,brazil,canada,export,197263561.0
230,brazil,canada,import,581865255.0
231,brazil,chile,export,287821688.0
232,brazil,chile,import,228645391.0
233,brazil,china,export,227857545.0
234,brazil,china,import,118488424.0
235,brazil,czechia,export,48976.0
236,brazil,czechia,import,155234222.0
237,brazil,denmark,export,24201519.0
238,brazil,denmark,import,175053890.0
239,brazil,estonia,import,15699100.0
240,brazil,finland,export,128841.0
241,brazil,finland,import,165582168.0
242,brazil,france,export,70967842.0
243,brazil,france,import,1881686642.0
244,brazil,germany,export,58401130.0
245,brazil,germany,import,3089605695.0
246,brazil,greece,export,387453.0
247,brazil,greece,import,143654065.0
248,brazil,hungary,export,585000.0
249,brazil,hungary,import,7839000.0
250,brazil,iceland,export,5627832.0
251,brazil,iceland,import,5214892.0
252,brazil,ireland,export,762399.0
253,brazil,ireland,import,187466626.0
254,brazil,israel,export,1959000.0
255,brazil,israel,import,185554000.0
256,brazil,italy,export,63622873.0
257,brazil,italy,import,954730276.0
258,brazil,japan,export,7160198.0
259,brazil,japan,import,1816957404.0
260,brazil,latvia,export,3734.0
261,brazil,latvia,import,3849866.0
262,brazil,lithuania,import,14259624.0
263,brazil,luxembourg,export,50749.0
264,brazil,luxembourg,import,2274822.0
265,brazil,mexico,export,13024453.0
266,brazil,mexico,import,45855069.0
267,brazil,netherlands,export,73114617.0
268,brazil,netherlands,import,2755704605.0
269,brazil,new zealand,export,12456419.0
270,brazil,new zealand,import,39597434.0
271,brazil,norway,export,188917845.0
272,brazil,norway,import,224849476.0
273,brazil,poland,export,14273342.0
274,brazil,poland,import,117697919.0
275,brazil,portugal,export,64530972.0
276,brazil,portugal,import,273522320.0
277,brazil,rep. of korea,export,3842054.0
278,brazil,rep. of korea,import,451563080.0
279,brazil,slovakia,import,50459753.0
280,brazil,slovenia,import,77157275.0
281,brazil,spain,export,42855053.0
282,brazil,spain,import,848343559.0
283,brazil,sweden,export,2669043.0
284,brazil,sweden,import,235800363.0
285,brazil,switzerland,export,28798595.0
286,brazil,switzerland,import,353764147.0
287,brazil,turkey,export,36230795.0
288,brazil,turkey,import,60138999.0
289,brazil,united kingdom,export,14539866.0
290,brazil,united kingdom,import,1504008588.0
291,brazil,usa,export,537103751.0
292,brazil,usa,import,2369156087.0
293,canada,australia,export,110121248.0
294,canada,australia,import,200083492.0
295,canada,austria,export,4968070.0
296,canada,austria,import,6000514.0
297,canada,belgium,export,100382345.0
298,canada,belgium,import,260325029.0
299,canada,brazil,export,409227981.0
300,canada,brazil,import,176579460.0
301,canada,canada,import,46149931.0
302,canada,chile,export,169126620.0
303,canada,chile,import,93450507.0
304,canada,china,export,598806325.0
305,canada,china,import,505850175.0
306,canada,czechia,export,1683460.0
307,canada,czechia,import,31579145.0
308,canada,denmark,export,50426203.0
309,canada,denmark,import,192976286.0
310,canada,estonia,export,2966251.0
311,canada,estonia,import,11144052.0
312,canada,finland,export,4747855.0
313,canada,finland,import,18248359.0
314,canada,france,export,157372776.0
315,canada,france,import,228498530.0
