Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,11909160150,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,26029281953,,,4
S4,2018,2018,2018,1,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48441980,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,212297,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3153524,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,240326,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,385988,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,80921,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4879,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7570650,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6106887,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4656295,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1340232,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2876652,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,109292,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,386205066,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2444242,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48441980,,,4
S4,2018,2018,2018,1,0,4,Re-Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48441980,,,4
S4,2018,2018,2018,1,0,1,Import,36,Australia,AUS,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,89272479,,,4
S4,2018,2018,2018,1,0,2,Export,36,Australia,AUS,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,227186,,,4
