Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11596710081,,,4
S4,2018,2018,2018,1,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9575056588,,,4
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,63276,,,4
S4,2018,2018,2018,1,0,2,Export,40,Austria,AUT,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1230337,,,4
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2773347,,,0
S4,2018,2018,2018,1,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6355926,,,4
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,408356,,,0
S4,2018,2018,2018,1,0,2,Export,40,Austria,AUT,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6147303,,,0
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2573,,,0
S4,2018,2018,2018,1,0,1,Import,40,Austria,AUT,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,166348,,,0
S4,2018,2018,2018,1,0,2,Export,40,Austria,AUT,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27,,,4
