Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,31543161499,,,4
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37717313673,,,4
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,78278,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2848973,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,61023,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12910175,,,4
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2075604,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,132995380,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,154976,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38884308,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2200,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1006315,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,66204,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4164875,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,122124576,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9903371,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37019702,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,153673998,,,4
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,99033499,,,4
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,307611766,,,4
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7577014,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2251796,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18860,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12193940,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,70684699,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30065343,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,363070,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6597664,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,624175,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10594,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,4692,,,4
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20834058,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1023635,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5660373,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11748606,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,93197,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,849803736,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,152973987,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4106302,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,520606,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2276,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,541199,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14746,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,913357,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,45594529,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,52680021,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,59986013,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10674699,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5865988,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6849342,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1015141,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9392025,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8399908,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8626233,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,139381243,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,58690004,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,166424912,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,167110761,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,132,Cabo Verde,CPV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9419033,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,136,Cayman Isds,CYM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11252,,,0
S4,2018,2018,2018,1,0,2,Export,56,Belgium,BEL,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2898388,,,0
S4,2018,2018,2018,1,0,1,Import,56,Belgium,BEL,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20808696,,,4
