Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,7932689238,,,0
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,43862400374,,,4
S4,2018,2018,2018,1,0,4,Re-Import,76,Brazil,BRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2279862,,,0
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16604055,,,0
S4,2018,2018,2018,1,0,1,Import,76,Brazil,BRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,130805,,,0
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57523191,,,0
S4,2018,2018,2018,1,0,1,Import,76,Brazil,BRA,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17100,,,0
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,855437652,,,4
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,214041,,,0
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,343735045,,,4
S4,2018,2018,2018,1,0,2,Export,76,Brazil,BRA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4918225,,,4
