Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,30238717875,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38870281094,,,4
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,854514884,,,0
S4,2018,2018,2018,1,0,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,90001657,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,2035040,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,367396,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,532292,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8555879,,,4
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13299,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,4727847,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,304288940,,,0
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,34706,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,185,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,202946,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,25371,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,158,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37327141,,,0
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4246868,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33197,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2696473,,,0
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,46572,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,426656,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,404686,,,0
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,103643396,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12976054,,,0
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,47475,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,262815102,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,128718550,,,4
S4,2018,2018,2018,1,0,3,Re-Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4285565,,,0
S4,2018,2018,2018,1,0,1,Import,124,Canada,CAN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,14332599,,,0
S4,2018,2018,2018,1,0,2,Export,124,Canada,CAN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3220109,,,4
