Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5967312859,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15793195466,,,4
S4,2018,2018,2018,1,0,4,Re-Import,152,Chile,CHL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7047566,,,4
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8897,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1105780,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4414953,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,235974,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,704541,,,0
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1358560539,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,186141706,,,4
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2112222,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,77877144,,,4
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2790411,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13331738,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,910798,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1993002,,,0
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,169620,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2194275,,,0
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,116,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,789016,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1169740,,,0
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,92151028,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,70827289,,,4
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,58173973,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64083508,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,125219,,,0
S4,2018,2018,2018,1,0,1,Import,152,Chile,CHL,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,986669983,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,822181653,,,4
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,579450,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,78346,,,0
S4,2018,2018,2018,1,0,2,Export,152,Chile,CHL,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,693781,,,0
