Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8099975922,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6215493035,,,4
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14325,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,209,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3692051,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,667340,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1597,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,83811,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,242445,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8396,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9283,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20976,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11568,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,747582,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,264421,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19760090,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,143739,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6379290,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9674500,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,278402837,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,346105711,,,4
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5311,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,143,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,128669,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,816520,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19375019,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10759,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,562689,,,4
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,302,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,259568317,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,103513388,,,4
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1252479,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,462,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,529491,,,0
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9769054,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,503558,,,0
S4,2018,2018,2018,1,0,1,Import,203,Czechia,CZE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,56347789,,,4
S4,2018,2018,2018,1,0,2,Export,203,Czechia,CZE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,365607,,,4
