Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,11350720949,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17397665346,,,4
S4,2018,2018,2018,1,0,1,Import,208,Denmark,DNK,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9435,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2199423,,,4
S4,2018,2018,2018,1,0,1,Import,208,Denmark,DNK,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,626614,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15405254,,,4
S4,2018,2018,2018,1,0,1,Import,208,Denmark,DNK,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,127142,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9470083,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,330913,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3046228,,,4
S4,2018,2018,2018,1,0,1,Import,208,Denmark,DNK,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,925656,,,4
S4,2018,2018,2018,1,0,2,Export,208,Denmark,DNK,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,543681,,,4
