Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1571538474,,,4
S4,2018,2018,2018,1,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1267347998,,,4
S4,2018,2018,2018,1,0,4,Re-Import,233,Estonia,EST,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3817730,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8836572,,,0
S4,2018,2018,2018,1,0,2,Export,233,Estonia,EST,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64816,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,624,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,831747,,,0
S4,2018,2018,2018,1,0,2,Export,233,Estonia,EST,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39266,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,489915,,,0
S4,2018,2018,2018,1,0,2,Export,233,Estonia,EST,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,749355,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2440424,,,0
S4,2018,2018,2018,1,0,2,Export,233,Estonia,EST,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3167,,,0
S4,2018,2018,2018,1,0,1,Import,233,Estonia,EST,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1318862,,,0
