Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4727910562,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1525921087,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,42196,,,0
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,155,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,120,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,269938,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,80,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,312,,,0
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,90307,,,0
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,54,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,515168,,,0
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6226027,,,0
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4533945,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,61,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5131922,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2069282,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,36317502,,,4
S4,2018,2018,2018,1,0,2,Export,246,Finland,FIN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3486692,,,4
S4,2018,2018,2018,1,0,1,Import,246,Finland,FIN,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,114113,,,0
