Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,52185211916,,,4
S4,2018,2018,2018,1,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48037177508,,,4
S4,2018,2018,2018,1,0,4,Re-Import,251,France,FRA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,491057334,,,4
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3208258,,,4
S4,2018,2018,2018,1,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6013116,,,4
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,5581043,,,4
S4,2018,2018,2018,1,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5869358,,,4
S4,2018,2018,2018,1,0,2,Export,251,France,FRA,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,100721,,,4
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48664044,,,4
S4,2018,2018,2018,1,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1714859441,,,4
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,72194,,,4
S4,2018,2018,2018,1,0,1,Import,251,France,FRA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115809,,,4
