Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,81394367742,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,68849639861,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3134819,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5249518,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12941489,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19134004,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,92,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7630819,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,96395334,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9580,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2386986,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37608,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22973724,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,49686,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,416330,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20937269,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,25809367,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,573088355,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,34521169,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,124942179,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,343297320,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3433513494,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5294384861,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,516621,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15024822,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,73352788,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16594501,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,213980,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15355275,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3085998,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4451405959,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3151492413,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3521,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4115,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64681938,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1499368,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22404811,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,86304014,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2881403,,,0
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,188281,,,0
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2390140660,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,137420160,,,4
S4,2018,2018,2018,1,0,1,Import,276,Germany,DEU,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2756516,,,4
S4,2018,2018,2018,1,0,2,Export,276,Germany,DEU,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,500587,,,0
