Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5389200560,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7707024557,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,578466,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1420568,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4345171,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,51,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5274365,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1685,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,668345,,,4
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16447,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2500012,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,550603,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1869834,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,58127,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15625806,,,4
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,425872770,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,685030144,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1730531,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,242784,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,77816,,,0
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1632224,,,4
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,145000628,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,143277502,,,4
S4,2018,2018,2018,1,0,2,Export,348,Hungary,HUN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,349814,,,0
S4,2018,2018,2018,1,0,1,Import,348,Hungary,HUN,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2052796,,,0
