Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,7968082275,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30131919631,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,318841300,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,88692799,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,90332,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4750177,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3422,,,0
S4,2018,2018,2018,1,0,1,Import,699,India,IND,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1911108,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,154889108,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7331,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3822,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,59011599,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1219,,,0
S4,2018,2018,2018,1,0,1,Import,699,India,IND,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57439,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13930702,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41289128,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2820112,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,244074633,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,219709719,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4704826,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6419806,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,346036,,,0
S4,2018,2018,2018,1,0,1,Import,699,India,IND,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,531621,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,140365119,,,4
S4,2018,2018,2018,1,0,1,Import,699,India,IND,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41678091,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,898849938,,,4
S4,2018,2018,2018,1,0,2,Export,699,India,IND,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3194626,,,0
S4,2018,2018,2018,1,0,2,Export,699,India,IND,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,386357,,,0
