Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9210970225,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13170859049,,,4
S4,2018,2018,2018,1,0,4,Re-Import,372,Ireland,IRL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,23816281,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7715343,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11702,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,55654,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1289,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57058901,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4920,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,59394,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7467875,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,462308,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,234387279,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3475086,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11029110,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,36207838,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,58433059,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,23887340,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,244,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2559999,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39816,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8023970,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,255305,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11416089,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,28580,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,71899,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,341904,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,259361262,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,302648366,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,529000,,,4
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,581254,,,4
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115292,,,0
S4,2018,2018,2018,1,0,2,Export,372,Ireland,IRL,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,563751,,,0
S4,2018,2018,2018,1,0,1,Import,372,Ireland,IRL,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,232,,,0
