Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,5262999000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,1721601000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,127000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1077000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1043000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,240166000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1039000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,105735000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18150000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15878000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2044000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,566000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,443000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,80430000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,49924000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4663000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,71000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,101102000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4752000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,286000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15318000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1426000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,48000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,45000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,163000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2139000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11678000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,87000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,77000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,204000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29674000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39178000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9119000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1271000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,114359000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1742000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,177755000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,65063000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15688000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,352000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,216000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3773000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3910000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,934000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,905000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27419000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5121000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16184000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4001000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,204,Benin,BEN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,157000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32504000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3101000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,212,Dominica,DMA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,855000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,214,Dominican Rep.,DOM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3647000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,214,Dominican Rep.,DOM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,43000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8537000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,112000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,222,El Salvador,SLV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9149000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,294000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,557000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,242,Fiji,FJI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,28000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2088000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7624000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,153230000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,166795000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,262,Djibouti,DJI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,239000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,266,Gabon,GAB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,268,Georgia,GEO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1102000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,268,Georgia,GEO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,605000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,270,Gambia,GMB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,921000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,276,Germany,DEU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,215046000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,276,Germany,DEU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,55002000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,288,Ghana,GHA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3847000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,288,Ghana,GHA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5655000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,292,Gibraltar,GIB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,300,Greece,GRC,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27704000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,300,Greece,GRC,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4874000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,320,Guatemala,GTM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6095000,,,4
S4,2018,2018,2018,1,0,2,Export,376,Israel,ISR,320,Guatemala,GTM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,432000,,,4
S4,2018,2018,2018,1,0,1,Import,376,Israel,ISR,324,Guinea,GIN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,145000,,,4
