Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39425168958,,,4
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33863744264,,,4
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,515202,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1406807,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,71497548,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,123334828,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7367490,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41117292,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41483,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,164709,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38636204,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1855,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,560106,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,31269345,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7198238,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1009599706,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27148400,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,120485081,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,466021874,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1299131765,,,4
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1224538938,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,561381,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1128743,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15076599,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4302846,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7222223,,,4
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,139735,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11413490,,,0
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,582508,,,0
S4,2018,2018,2018,1,0,1,Import,381,Italy,ITA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1283032088,,,4
S4,2018,2018,2018,1,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1043939168,,,0
