Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57338560023,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,5698874174,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,556246,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,623520,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1260098,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,948618,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,934936,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3537891,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15047,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1993,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,381857040,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,500928,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4104371378,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,90533119,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,79594283,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2168994,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4511981,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1297129,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16635952,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,671933,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,24548,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,222553893,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12763320,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5772,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,358676,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3519179,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7700,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,79435,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1703238158,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6755037,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7589476,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13806,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5024660,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,339644,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,772746,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,702427,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11247023,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,368335,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,89000377,,,4
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2170416,,,4
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1177080,,,0
S4,2018,2018,2018,1,0,2,Export,392,Japan,JPN,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,424023,,,0
S4,2018,2018,2018,1,0,1,Import,392,Japan,JPN,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,688415,,,0
