Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27204452533,,,4
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,346769,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2883563,,,4
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,903234,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,65,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6458551,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7720324,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,51439,,,0
S4,2018,2018,2018,1,0,1,Import,410,Rep. of Korea,KOR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,268720310,,,0
