Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2008412463,,,4
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1872511486,,,4
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1020142,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2176790,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,309989,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,46620,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4070,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,292166,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3384329,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,222061,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6492550,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8604208,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1413801,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6296524,,,4
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2900048,,,4
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20045,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,60579,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,168536,,,0
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,611943,,,0
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38003748,,,4
S4,2018,2018,2018,1,0,2,Export,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7407938,,,4
S4,2018,2018,2018,1,0,1,Import,428,Latvia,LVA,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29,,,0
