Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3330970892,,,4
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3973633901,,,4
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17286,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1283285,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,693999,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1948122,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1906058,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,329815,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27851,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1235997,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4190746,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22003595,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,96,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2426522,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29965096,,,4
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,21081016,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,176967,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6498750,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,188622,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19347792,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,42687,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8397107,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,105063080,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,104610767,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1132537,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,128298,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1366779,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2223559,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,378,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,710086,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,131232,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12602959,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12549895,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4142592,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,172270,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,45963368,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,177321818,,,4
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,496915,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,222420,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,369,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1685660,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7823923,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,40905,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2958194,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7984,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14679857,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,126054,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22614810,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5380846,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,265560,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8134,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,69849,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29697,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5952606,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,851015,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,933342,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14843327,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2478390,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1860476,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5539251,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,36242405,,,4
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,31505126,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,69320670,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,88843130,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14044795,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,222,El Salvador,SLV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,243313,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,289191,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,174236770,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,194907245,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,234,Faeroe Isds,FRO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2036509,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,234,Faeroe Isds,FRO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,238,Falkland Isds (Malvinas),FLK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,399941,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11462209,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,53872971,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,59081196,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,251,France,FRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,86402411,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,258,French Polynesia,PYF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,101137,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,266,Gabon,GAB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,80804,,,0
S4,2018,2018,2018,1,0,1,Import,440,Lithuania,LTU,268,Georgia,GEO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3046569,,,0
S4,2018,2018,2018,1,0,2,Export,440,Lithuania,LTU,268,Georgia,GEO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2534315,,,0
