Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2028494472,,,4
S4,2018,2018,2018,1,0,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1104552729,,,4
S4,2018,2018,2018,1,0,1,Import,442,Luxembourg,LUX,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,23935,,,0
S4,2018,2018,2018,1,0,2,Export,442,Luxembourg,LUX,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26,,,0
S4,2018,2018,2018,1,0,2,Export,442,Luxembourg,LUX,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17,,,0
S4,2018,2018,2018,1,0,1,Import,442,Luxembourg,LUX,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,28814,,,0
S4,2018,2018,2018,1,0,2,Export,442,Luxembourg,LUX,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,241,,,0
S4,2018,2018,2018,1,0,1,Import,442,Luxembourg,LUX,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9697,,,0
S4,2018,2018,2018,1,0,2,Export,442,Luxembourg,LUX,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30,,,0
S4,2018,2018,2018,1,0,1,Import,442,Luxembourg,LUX,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,93,,,0
