,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,18876230.0,407132.0,68907801.0,852983729.0,4286490.0,134032641.0,13110330909.0,66374.0,223204.0,34783220.0,31049606.0,591615795.0,168647675.0,139011.0,869.0,0.0,9238145455.0,982893.0,670170.0,124876109.0,17086637273.0,24679593.0,1775827.0,0.0,417781.0,1721636198.0,618464340.0,1650930.0,313605282.0,42249.0,10978119975.0,0.0,22778503.0,259000400.0,212247222.0,4294228.0,77680189.0,310560318.0,778426202.0
austria,47891867.0,0.0,39574327.0,7858.0,399015.0,20797.0,5584401.0,938379809.0,619036.0,1010089.0,2046368.0,17809920.0,4089466073.0,1328569.0,1133868665.0,67645.0,195114.0,302001.0,93824.0,769156728.0,657111.0,2673897.0,1528314.0,327675.0,29525.0,38317975.0,80974.0,462958.0,405812626.0,567759.0,7355503.0,798284659.0,808965560.0,6453180.0,8898885.0,505222614.0,2733739.0,27616353.0,178703984.0
belgium,333961438.0,73460766.0,0.0,312727223.0,358020025.0,14144303.0,135547771.0,46468538.0,213423884.0,10906127.0,727224020.0,9501111430.0,8619830102.0,166045061.0,27996543.0,1178111.0,217251661.0,60854327.0,26657922.0,507474382.0,31716295.0,15744457.0,19401151.0,1450835047.0,116374114.0,41468211675.0,5008096.0,5870245293.0,321338904.0,321546723.0,138175294.0,9841543.0,12886589.0,794562918.0,880718609.0,368727424.0,153093624.0,7185204111.0,3395548412.0
brazil,884194054.0,66929.0,290890127.0,3058895.0,349581586.0,2070794036.0,14836108863.0,10670086.0,10041055.0,11065.0,5592281.0,264980867.0,81964562.0,150240805.0,66.0,0.0,1244747001.0,28813.0,2551406.0,414702803.0,8556313.0,4149716.0,10554721.0,2.0,78484769.0,1121789292.0,7656.0,110796399.0,9299388.0,467179237.0,42205466.0,0.0,243.0,2684442733.0,35021810.0,137249308.0,16228227.0,288868939.0,14579394703.0
canada,4381035.0,89445.0,439478155.0,253725857.0,66752933.0,89607176.0,1069505251.0,20870838.0,47356487.0,45256352.0,284495139.0,110389998.0,191792607.0,9258737.0,134250.0,75194586.0,934804965.0,240631762.0,1025803.0,483961365.0,1650381698.0,6720871.0,74291971.0,3642.0,472572243.0,2508114824.0,502668.0,886148983.0,135570278.0,92687031.0,1632168748.0,30480.0,1651073.0,508036365.0,122107152.0,22212957.0,95370829.0,1789277126.0,114499374512.0
chile,146384686.0,96267.0,8052422.0,2219543049.0,94958089.0,3410.0,89812995.0,498450.0,282383.0,1432204.0,522317.0,6133634.0,19736118.0,28201.0,0.0,0.0,9355575.0,5504.0,52795.0,2196973.0,298446053.0,1706010.0,665202.0,0.0,2205916.0,7245198.0,0.0,2748.0,97509.0,273703.0,151639422.0,1306.0,785.0,30235239.0,2001053.0,617569.0,1043046.0,78442336.0,5313279228.0
china,24822442757.0,26845082.0,413674748.0,16513475542.0,1333743340.0,167074521.0,16514506.0,155310.0,31300079.0,4385320.0,61373345.0,502343321.0,533700530.0,106072473.0,683931.0,1364.0,2120977729.0,319462.0,9846242.0,133517853.0,3928656051.0,31279969.0,12963351.0,64361144.0,1261658900.0,1570384514.0,80059248.0,723616420.0,38094091.0,88402144.0,13477171002.0,176914.0,628190.0,203191328.0,67807504.0,43804584.0,200491766.0,5555214143.0,11741841844.0
czechia,4920098.0,598095733.0,59978322.0,2762.0,61814595.0,114.0,17477675.0,0.0,19882458.0,2186740.0,4076235.0,68576169.0,3174854411.0,109050.0,310527310.0,19552.0,1232972.0,16584.0,437273.0,21143168.0,2068568.0,5708925.0,7785657.0,46089223.0,98761.0,98760907.0,22950.0,231280.0,1075953926.0,146844.0,13663838.0,2499168084.0,10217590.0,6552882.0,10770050.0,37328648.0,27879684.0,46680451.0,86010853.0
denmark,5341921.0,1801779.0,142808753.0,62216.0,61890567.0,369.0,6282076.0,693654.0,0.0,31213447.0,265503350.0,44867072.0,939426039.0,828805.0,118358.0,25881438.0,60501707.0,5337821.0,712214.0,62206803.0,143887.0,3024264.0,19963634.0,24544.0,58493.0,755318629.0,6847.0,2651732123.0,178776172.0,192187.0,14611259.0,338775.0,326023.0,49948175.0,2910774434.0,899178.0,15304582.0,372035788.0,763979503.0
estonia,20880473.0,1240269.0,113682649.0,12414.0,66708252.0,1121900.0,4136851.0,1383038.0,123998012.0,313.0,380110362.0,14041694.0,19706429.0,4140519.0,643026.0,102896.0,28124894.0,194120.0,2604764.0,4083052.0,1153587.0,385621022.0,542505726.0,2934.0,2199532.0,208827888.0,43125.0,3348042.0,15374625.0,1068936.0,2653576.0,324565.0,230722.0,39099251.0,48868305.0,59257579.0,1409786.0,107090527.0,339814302.0
finland,31104322.0,800444.0,726776658.0,1171.0,285441156.0,1589.0,619434.0,1141918.0,294141075.0,457341079.0,0.0,105538073.0,513648399.0,250589.0,36727.0,66323.0,502747.0,1068944.0,1603007.0,7411528.0,723954.0,255572859.0,138220903.0,141.0,5476.0,1000745791.0,0.0,1205130271.0,97480619.0,294929.0,214937.0,208965.0,8786.0,24879101.0,3802742567.0,4887659.0,2163504.0,683621463.0,555711951.0
france,703275295.0,34653743.0,14282713936.0,261027879.0,169289202.0,5154659.0,158386255.0,54946819.0,29774411.0,12942463.0,137544421.0,33260950.0,5577287673.0,61042436.0,20358474.0,26059.0,1358287065.0,179026912.0,12445147.0,3323217692.0,111280932.0,28448755.0,87623076.0,177306004.0,5974718.0,4433336604.0,967776.0,2429333895.0,144750626.0,165559176.0,434386872.0,9643380.0,5395242.0,4365526034.0,409562240.0,1383132815.0,113560387.0,2663809072.0,4804876561.0
germany,1117339596.0,4403828121.0,6130498181.0,38723510.0,519659521.0,16493564.0,358162875.0,2545076870.0,1051735515.0,16017257.0,497862398.0,2602048789.0,0.0,49060272.0,195680556.0,19011683.0,86204415.0,42720170.0,37759218.0,461264523.0,40222377.0,57400847.0,50271466.0,685756236.0,55093306.0,20633360175.0,4414363.0,4536243949.0,2739034422.0,28840579.0,125549471.0,252145986.0,86013678.0,348563731.0,1211784268.0,3856698080.0,103064088.0,2877291224.0,4223957382.0
greece,485168.0,11507815.0,105471233.0,89600794.0,20796967.0,149408.0,524594556.0,29219377.0,36661081.0,4241939.0,5606431.0,80987574.0,162978976.0,0.0,24447624.0,773373.0,80681473.0,74074647.0,586433640.0,1066791552.0,893602.0,4711011.0,8661915.0,2533796.0,24651.0,104377761.0,46293.0,16835759.0,33166898.0,60838937.0,682683.0,4674841.0,540231161.0,632826723.0,154688083.0,14825325.0,1827941259.0,458711518.0,486620950.0
hungary,14963508.0,1710799512.0,24885742.0,71.0,6169668.0,563.0,8327494.0,275514253.0,841125.0,601214.0,1947760.0,26253933.0,198422632.0,4411816.0,0.0,1402136.0,217705.0,208245.0,8173357.0,363565975.0,325882.0,3285294.0,2801214.0,19620264.0,64013.0,77506246.0,0.0,3027999.0,238946604.0,4506132.0,748560.0,1165108048.0,232950299.0,3097707.0,10494100.0,5256787.0,15162767.0,68521588.0,178506744.0
iceland,51153.0,539028.0,6646521.0,31496.0,50892586.0,215472.0,176196.0,409585.0,87639034.0,782133.0,6130482.0,17883093.0,32458275.0,2914109.0,34617.0,0.0,476093.0,3267615.0,1620127.0,7175564.0,30048.0,329508.0,250604.0,509497.0,31779.0,40771047.0,29591.0,561866706.0,6055434.0,3426100.0,51694.0,3076.0,260201.0,18642181.0,21465460.0,3239794.0,464674.0,61598558.0,216469491.0
