,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,517143516.0,1152626715.0,2134913639.0,1640821902.0,2060144349.0,587578554.0,110295351907.0,619844942.0,995965453.0,131326136.0,823434423.0,4020964612.0,11748687348.0,212761333.0,458484128.0,7403464.0,13992464642.0,1161609527.0,631045665.0,4689900969.0,41472476245.0,53330960.0,81819222.0,60404753.0,1989182711.0,4211176440.0,9983686374.0,393295912.0,1048184617.0,199371471.0,23292853310.0,172750829.0,123246710.0,2228942516.0,2144580345.0,1842844506.0,881295556.0,6164434848.0,27804439655.0
austria,1358326446.0,0.0,4306968122.0,1160891102.0,1570255203.0,281995202.0,10645758829.0,11666876696.0,1394361601.0,208061530.0,1258567235.0,10545825509.0,99906846726.0,622433407.0,9272843839.0,121481383.0,1540121175.0,854777533.0,534956473.0,19922519935.0,3828573384.0,189719317.0,346650908.0,542115590.0,1653455975.0,7166229102.0,213136571.0,945699926.0,8569887201.0,1035413813.0,2317096179.0,7041434876.0,5355102116.0,5187854577.0,3298569855.0,13376424066.0,2642520149.0,6831054053.0,16009158154.0
belgium,2886285177.0,6220821377.0,0.0,6129508072.0,6265300473.0,1110190929.0,18562396690.0,7683424700.0,4247493259.0,547825539.0,5498170973.0,93939375185.0,128849263073.0,1872327878.0,5351908279.0,456376860.0,14367540215.0,25229668639.0,3567942934.0,34787352009.0,13619223634.0,460493236.0,1539962558.0,8604083493.0,5730254741.0,124667355999.0,704834501.0,8116384934.0,13350835920.0,3533856555.0,4493067365.0,2256875265.0,962913928.0,19771811943.0,15013291603.0,10324966921.0,10179213645.0,51441444114.0,49766715815.0
brazil,1521966455.0,1173476834.0,4302068901.0,7373502059.0,5121769660.0,9376279530.0,94414840888.0,500719859.0,903352097.0,61903471.0,665305470.0,5950636149.0,14495458183.0,306630195.0,421594409.0,174922432.0,6340885694.0,926649546.0,1432161060.0,7409159699.0,8239423617.0,55445385.0,53632544.0,88852333.0,8901293387.0,14574075511.0,122262976.0,1319563023.0,1393828025.0,1889504089.0,8519138173.0,153031640.0,570662517.0,7850376360.0,1656950274.0,2269252005.0,2749218384.0,4027663896.0,54948100697.0
canada,2685165866.0,1489734810.0,5443682220.0,5507627656.0,2919220006.0,1950878575.0,61065165477.0,713254521.0,1194839347.0,177179731.0,1596982161.0,6675128750.0,16796370748.0,246808562.0,592821181.0,238049885.0,6517892455.0,2497953772.0,1222320825.0,7118489239.0,21197806409.0,587043348.0,190785202.0,164986787.0,30122608859.0,6693001733.0,793630483.0,3476656145.0,2029051011.0,536566193.0,11171569246.0,595892089.0,182310890.0,3513918405.0,2087049556.0,3933353404.0,2529609284.0,10528805035.0,515270909664.0
chile,449486164.0,301343408.0,967258772.0,9657931983.0,1683129411.0,15331446.0,36934942842.0,80924105.0,358530879.0,14981685.0,491166524.0,2303078313.0,3596057670.0,65584700.0,85695715.0,6624472.0,2126505415.0,134184741.0,256260178.0,1933519627.0,9218666312.0,7519755.0,31007939.0,11951754.0,3459982760.0,1891497366.0,201129509.0,181868839.0,210226867.0,224116282.0,6113245683.0,23027323.0,17795964.0,3143278094.0,507505866.0,277248926.0,661660846.0,1056049528.0,22946105303.0
china,127746925164.0,8427775349.0,17732647653.0,104194988815.0,44730177366.0,36749519114.0,132457375727.0,14477061042.0,8827499674.0,1090898811.0,6761038096.0,47579038245.0,149793514781.0,4460535704.0,8840431907.0,379160782.0,85245030242.0,11910564687.0,10089638977.0,39966650143.0,268858608065.0,1058209105.0,1633783070.0,1066898244.0,47354625626.0,69727182094.0,14884814338.0,4949911497.0,17124253200.0,4526585151.0,279014869642.0,6785908816.0,3055295260.0,23312545536.0,13326436188.0,9973833347.0,18354873742.0,57641323524.0,468257929524.0
czechia,546297801.0,11867640382.0,6473531657.0,662894104.0,655878491.0,101470816.0,24748182199.0,0.0,2593473919.0,438396373.0,1542851843.0,14562473281.0,96793344855.0,642401952.0,9224489640.0,113535900.0,1286472123.0,2585740316.0,1146304463.0,13349727455.0,3324178286.0,361137279.0,891590274.0,468869933.0,1401441158.0,11073831280.0,127832137.0,1028141284.0,22388314227.0,1043030528.0,4361705203.0,21286703738.0,1596404672.0,8825007609.0,4416956931.0,3749269684.0,3399183656.0,11610414982.0,7526196969.0
denmark,831463440.0,1287345150.0,3886741217.0,543380753.0,784887970.0,216246958.0,6994040297.0,1910540915.0,0.0,595516511.0,2814193118.0,5087242957.0,32095167599.0,551020895.0,1204101482.0,563188867.0,876243205.0,1400130490.0,176091983.0,4551471551.0,1563779764.0,791420154.0,992483743.0,222780297.0,470918708.0,10038490408.0,198707480.0,9189205675.0,5650211110.0,391840875.0,1699212948.0,605863116.0,335812768.0,3123293639.0,19381111062.0,1024666157.0,1324703480.0,8766662187.0,5968988001.0
estonia,84243868.0,163321337.0,522361558.0,58743680.0,184153587.0,9952252.0,1473586673.0,327999005.0,629669361.0,11375361.0,3474410755.0,723481782.0,2387112614.0,35849989.0,149868386.0,29501495.0,155171386.0,67129758.0,31958349.0,525443384.0,352112027.0,1940636703.0,1776577029.0,9802539.0,72930531.0,945223055.0,9372088.0,484991411.0,1011210658.0,45789500.0,180670479.0,150305708.0,45045152.0,347065684.0,2238358402.0,217066241.0,320122022.0,776519892.0,1445908826.0
finland,744819499.0,1003180790.0,3339244630.0,880285996.0,1314556420.0,536252137.0,7469077583.0,1307376561.0,2525272832.0,3210714017.0,0.0,3785847338.0,20564835518.0,215933499.0,697368799.0,57345685.0,863596044.0,602821036.0,258257090.0,3171228796.0,1815064315.0,841101414.0,847572632.0,98019567.0,679857422.0,7432274674.0,111945385.0,3692809277.0,3350209503.0,510855001.0,1665271417.0,423740641.0,182870941.0,2234427874.0,13581536141.0,932289991.0,1341372630.0,4509023327.0,5703322154.0
france,3651415276.0,9986610797.0,77280013807.0,8203970139.0,5843280310.0,2424079941.0,58968943820.0,12895953260.0,5868293994.0,687306481.0,4706881224.0,4399169402.0,164652388803.0,3335475271.0,8069692247.0,441471659.0,10836191679.0,10093252220.0,2678894294.0,74921879035.0,15572514129.0,453752806.0,1372279034.0,4451763115.0,5586624167.0,43085378281.0,818366532.0,6263558877.0,20278736759.0,11049154385.0,8269628686.0,8042619059.0,2898241812.0,75796872258.0,12403095276.0,23141098361.0,13953755440.0,50604784771.0,71817780248.0
germany,12752945119.0,99773586088.0,91672363292.0,18154970294.0,15566739366.0,4300091993.0,188863730425.0,88609721545.0,31734341483.0,2575384912.0,20103373468.0,167187803187.0,0.0,7548481536.0,54722451784.0,1305941028.0,20039010157.0,26476338385.0,6413764094.0,124969496062.0,44450023375.0,2484685511.0,4955682495.0,9091908041.0,22808941418.0,169896750392.0,2371820641.0,17294447762.0,107848790150.0,15940482040.0,31075867821.0,27812393189.0,11723136699.0,77431549217.0,42682813611.0,91024760432.0,32729905410.0,116599620097.0,183369783115.0
greece,183078845.0,708299668.0,1789349936.0,251757011.0,257336048.0,64059551.0,4059119897.0,628304443.0,752447538.0,33705965.0,261570492.0,3192428000.0,7902242885.0,0.0,671433580.0,4930097.0,575720776.0,733261621.0,1074166915.0,7262930239.0,544620080.0,31864306.0,77302841.0,64939606.0,83030223.0,3345924421.0,71044080.0,173846213.0,1241690281.0,366505376.0,1228811066.0,321537986.0,719452679.0,2919856574.0,706648481.0,538104284.0,4221060607.0,2484883213.0,2095390020.0
hungary,495279243.0,11327205579.0,4884486873.0,377982300.0,331468238.0,76187176.0,7353430503.0,10042334358.0,1382781214.0,165129630.0,703442145.0,8717752187.0,56350860858.0,579403861.0,0.0,60632542.0,685525997.0,866819812.0,491453982.0,10732314953.0,2082825654.0,282294110.0,424429115.0,183103379.0,968790736.0,9440180294.0,78668109.0,191467447.0,10325661481.0,726809007.0,2429864708.0,10996039259.0,2860817070.0,4824625957.0,2621692056.0,1549812338.0,2784220289.0,5538847979.0,4750930469.0
iceland,355025168.0,31964289.0,164812658.0,231906542.0,233950158.0,8378693.0,654572723.0,68428035.0,514145277.0,40277699.0,77297308.0,536778774.0,920901342.0,14124769.0,76859347.0,0.0,23854464.0,48738544.0,19430390.0,224813201.0,255473987.0,43514322.0,94886066.0,9593945.0,16653813.0,2087160187.0,5112395.0,1098376111.0,204442164.0,102358303.0,91015177.0,41774944.0,6156500.0,567532691.0,307250018.0,92790098.0,63419552.0,879959676.0,876331282.0
india,16611989798.0,1011968996.0,15372360319.0,6956424884.0,5671233963.0,2416383636.0,82824069697.0,653301037.0,883027887.0,134550033.0,1078793389.0,6823473846.0,18563248874.0,556418204.0,622378087.0,28319385.0,0.0,788928356.0,5512779893.0,9328353209.0,15816676110.0,207394987.0,265355339.0,130438368.0,8539386405.0,10786817986.0,937333418.0,690216385.0,1890216036.0,761436752.0,20311909341.0,146981930.0,466174613.0,4320336229.0,1812372592.0,3104094285.0,6989529878.0,11994115484.0,71005368859.0
ireland,879863167.0,716173532.0,23143556148.0,603322307.0,2023408641.0,111471815.0,9572099418.0,1432799455.0,1302049675.0,37853701.0,484149434.0,18910061449.0,23013137205.0,687868377.0,719198484.0,63930753.0,781918367.0,70829863.0,377094798.0,5598176049.0,5334208919.0,88344236.0,126471145.0,285033527.0,1573947017.0,7949184722.0,107579812.0,1550921817.0,1869225434.0,674371585.0,1535017473.0,140026849.0,120912009.0,4324037445.0,1731245797.0,8260655698.0,1188889238.0,35099268096.0,55694974193.0
israel,571130000.0,423737000.0,5035624000.0,1453035000.0,916215000.0,262701000.0,11774927000.0,1029934000.0,263319000.0,25173000.0,310101000.0,2864640000.0,5631946000.0,1001439000.0,543859000.0,5936000.0,3729207000.0,649706000.0,0.0,3290020000.0,3335164000.0,61773000.0,83233000.0,32619000.0,638265000.0,3323446000.0,75412000.0,239634000.0,812323000.0,385230000.0,2056053000.0,334639000.0,605699000.0,2158699000.0,514547000.0,2719251000.0,7434448000.0,5956960000.0,23274736000.0
italy,4512708082.0,20465199633.0,32911336838.0,7790480966.0,4984014254.0,1910193157.0,37927748149.0,13440050781.0,5335984776.0,562191674.0,3509844495.0,79639158064.0,130795493933.0,7031491697.0,10754216467.0,125653304.0,9807015453.0,6218114687.0,3162352058.0,0.0,8555943333.0,551801310.0,1401260962.0,1145294073.0,5100962354.0,33356833997.0,802060265.0,3242123650.0,23896744423.0,5723892303.0,7899262154.0,7596990978.0,8499284684.0,43509949342.0,9617580591.0,23402794279.0,18663576599.0,30827078102.0,54962041479.0
japan,59646633251.0,2758918910.0,8944764923.0,10341156827.0,19211357886.0,9105486519.0,250630831068.0,2227656067.0,2331705855.0,249779685.0,2235215111.0,13757019874.0,37935262639.0,520852797.0,2374396952.0,258704769.0,14755411960.0,6047730762.0,2938091761.0,9988472921.0,0.0,123402611.0,112453515.0,680056010.0,16136233693.0,13713985242.0,4997336250.0,2648887380.0,2435509634.0,729387217.0,72515536860.0,402316605.0,275738835.0,5718264494.0,3732394755.0,5504670953.0,3527789584.0,17417633272.0,194793295327.0
latvia,26990747.0,222367360.0,418112046.0,19187592.0,882649365.0,7899588.0,635775012.0,355941386.0,793122586.0,2664844325.0,1003178795.0,432749708.0,2478585954.0,28187533.0,242378082.0,36717862.0,114279095.0,104173847.0,42271265.0,532852304.0,78073466.0,0.0,5056910485.0,25386459.0,26260002.0,798681251.0,8166851.0,310117124.0,1809586875.0,39336955.0,91016264.0,215435952.0,55374615.0,339688826.0,1349069919.0,151269042.0,231118618.0,1014755131.0,833503977.0
