,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,48441980.0,89499665.0,183906037.0,372460329.0,288861892.0,10260580.0,293544112.0,389555182.0,92398892.0,1646927.0,55857322.0,101871322.0,598415514.0,3728242970.0,1254667.0,593063965.0,82446078.0,11296212.0,129961506.0,24888746.0,218056817.0,165865305.0,514472788.0,3747999179.0
austria,94626088.0,0.0,282685077.0,21923777.0,153261734.0,39590837.0,574754984.0,8184117470.0,170491596.0,4420152.0,59429735.0,21016471.0,2460942366.0,77886383.0,20874976.0,883671737.0,63947307.0,37766658.0,606551161.0,104169713.0,824565297.0,283762894.0,280938552.0,154277026.0
belgium,190693700.0,406645265.0,0.0,333535673.0,596237520.0,237941699.0,14544471503.0,8922804760.0,285535960.0,86307913.0,645015147.0,178641803.0,2401010569.0,231315864.0,904061058.0,17339280960.0,130085325.0,358065927.0,2232280191.0,636892664.0,201630776.0,299794602.0,4068525494.0,1018650950.0
canada,395819217.0,17740113.0,256302470.0,90001657.0,160194018.0,10268261.0,376310208.0,394601732.0,105711004.0,65923831.0,254123631.0,80297088.0,633840084.0,2328214809.0,21753.0,318927505.0,103681632.0,84435424.0,449813234.0,56428783.0,211776248.0,324091754.0,668482175.0,42249053383.0
denmark,307966441.0,156039663.0,489033221.0,232470983.0,0.0,430428843.0,903979079.0,5862261838.0,269853366.0,164639319.0,219196945.0,32396845.0,1191857695.0,701157574.0,40527928.0,2041547628.0,1612018647.0,99078602.0,871809517.0,2573649963.0,133020401.0,75063897.0,1950102063.0,582948948.0
finland,7201204.0,39804194.0,203550517.0,15309063.0,396283294.0,0.0,240695497.0,778758989.0,28418978.0,7774295.0,32494013.0,14027504.0,186092223.0,22487904.0,951487.0,488982805.0,439754031.0,13568407.0,316232722.0,903587168.0,33818020.0,22017479.0,131595160.0,68557651.0
france,284795504.0,571288480.0,12113153307.0,440310452.0,853287478.0,172690862.0,491057334.0,10985781324.0,769917896.0,261955891.0,1447833601.0,335854646.0,9824016342.0,617119126.0,621705350.0,8447702658.0,1075526334.0,1240140155.0,12116021886.0,614193995.0,3335837373.0,568619838.0,6352596536.0,1761046134.0
germany,468239499.0,8727898355.0,7602898372.0,480426707.0,5890962130.0,929651472.0,11424111514.0,0.0,1588101736.0,165443658.0,1664775007.0,353521958.0,11697589719.0,520038838.0,733478413.0,24534954536.0,1149328746.0,695623013.0,8418422210.0,1854475583.0,3896568606.0,1787733203.0,5985581775.0,3415938415.0
greece,88703000.0,175976624.0,300139595.0,86596046.0,292064009.0,25914968.0,790180909.0,1627972222.0,0.0,1293101.0,53053481.0,32108627.0,1340951194.0,16095980.0,8004013.0,1179311971.0,60001909.0,91720954.0,553956776.0,114605295.0,46717534.0,201026658.0,535011370.0,376082719.0
iceland,871256.0,4290010.0,83174302.0,55506682.0,135109710.0,6998973.0,284318287.0,176785756.0,7143046.0,0.0,13599199.0,1396933.0,48847082.0,84584834.0,597843.0,171679205.0,223979433.0,84293012.0,244109739.0,39733460.0,20693289.0,14530377.0,403242975.0,260325867.0
