,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,517143516.0,1152626715.0,2134913639.0,2060144349.0,995965453.0,823434423.0,4020964612.0,11748687348.0,212761333.0,7403464.0,1161609527.0,631045665.0,4689900969.0,41472476245.0,60404753.0,4211176440.0,393295912.0,199371471.0,2228942516.0,2144580345.0,1842844506.0,881295556.0,6164434848.0,27804439655.0
austria,1358326446.0,0.0,4306968122.0,1570255203.0,1394361601.0,1258567235.0,10545825509.0,99906846726.0,622433407.0,121481383.0,854777533.0,534956473.0,19922519935.0,3828573384.0,542115590.0,7166229102.0,945699926.0,1035413813.0,5187854577.0,3298569855.0,13376424066.0,2642520149.0,6831054053.0,16009158154.0
belgium,2886285177.0,6220821377.0,0.0,6265300473.0,4247493259.0,5498170973.0,93939375185.0,128849263073.0,1872327878.0,456376860.0,25229668639.0,3567942934.0,34787352009.0,13619223634.0,8604083493.0,124667355999.0,8116384934.0,3533856555.0,19771811943.0,15013291603.0,10324966921.0,10179213645.0,51441444114.0,49766715815.0
canada,2685165866.0,1489734810.0,5443682220.0,2919220006.0,1194839347.0,1596982161.0,6675128750.0,16796370748.0,246808562.0,238049885.0,2497953772.0,1222320825.0,7118489239.0,21197806409.0,164986787.0,6693001733.0,3476656145.0,536566193.0,3513918405.0,2087049556.0,3933353404.0,2529609284.0,10528805035.0,515270909664.0
denmark,831463440.0,1287345150.0,3886741217.0,784887970.0,0.0,2814193118.0,5087242957.0,32095167599.0,551020895.0,563188867.0,1400130490.0,176091983.0,4551471551.0,1563779764.0,222780297.0,10038490408.0,9189205675.0,391840875.0,3123293639.0,19381111062.0,1024666157.0,1324703480.0,8766662187.0,5968988001.0
finland,744819499.0,1003180790.0,3339244630.0,1314556420.0,2525272832.0,0.0,3785847338.0,20564835518.0,215933499.0,57345685.0,602821036.0,258257090.0,3171228796.0,1815064315.0,98019567.0,7432274674.0,3692809277.0,510855001.0,2234427874.0,13581536141.0,932289991.0,1341372630.0,4509023327.0,5703322154.0
france,3651415276.0,9986610797.0,77280013807.0,5843280310.0,5868293994.0,4706881224.0,4399169402.0,164652388803.0,3335475271.0,441471659.0,10093252220.0,2678894294.0,74921879035.0,15572514129.0,4451763115.0,43085378281.0,6263558877.0,11049154385.0,75796872258.0,12403095276.0,23141098361.0,13953755440.0,50604784771.0,71817780248.0
germany,12752945119.0,99773586088.0,91672363292.0,15566739366.0,31734341483.0,20103373468.0,167187803187.0,0.0,7548481536.0,1305941028.0,26476338385.0,6413764094.0,124969496062.0,44450023375.0,9091908041.0,169896750392.0,17294447762.0,15940482040.0,77431549217.0,42682813611.0,91024760432.0,32729905410.0,116599620097.0,183369783115.0
greece,183078845.0,708299668.0,1789349936.0,257336048.0,752447538.0,261570492.0,3192428000.0,7902242885.0,0.0,4930097.0,733261621.0,1074166915.0,7262930239.0,544620080.0,64939606.0,3345924421.0,173846213.0,366505376.0,2919856574.0,706648481.0,538104284.0,4221060607.0,2484883213.0,2095390020.0
iceland,355025168.0,31964289.0,164812658.0,233950158.0,514145277.0,77297308.0,536778774.0,920901342.0,14124769.0,0.0,48738544.0,19430390.0,224813201.0,255473987.0,9593945.0,2087160187.0,1098376111.0,102358303.0,567532691.0,307250018.0,92790098.0,63419552.0,879959676.0,876331282.0
ireland,879863167.0,716173532.0,23143556148.0,2023408641.0,1302049675.0,484149434.0,18910061449.0,23013137205.0,687868377.0,63930753.0,70829863.0,377094798.0,5598176049.0,5334208919.0,285033527.0,7949184722.0,1550921817.0,674371585.0,4324037445.0,1731245797.0,8260655698.0,1188889238.0,35099268096.0,55694974193.0
