,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,18876230.0,407132.0,68907801.0,4286490.0,223204.0,31049606.0,591615795.0,168647675.0,139011.0,0.0,982893.0,670170.0,124876109.0,17086637273.0,0.0,1721636198.0,1650930.0,42249.0,259000400.0,212247222.0,4294228.0,77680189.0,310560318.0,778426202.0
austria,47891867.0,0.0,39574327.0,399015.0,619036.0,2046368.0,17809920.0,4089466073.0,1328569.0,67645.0,302001.0,93824.0,769156728.0,657111.0,327675.0,38317975.0,462958.0,567759.0,6453180.0,8898885.0,505222614.0,2733739.0,27616353.0,178703984.0
belgium,333961438.0,73460766.0,0.0,358020025.0,213423884.0,727224020.0,9501111430.0,8619830102.0,166045061.0,1178111.0,60854327.0,26657922.0,507474382.0,31716295.0,1450835047.0,41468211675.0,5870245293.0,321546723.0,794562918.0,880718609.0,368727424.0,153093624.0,7185204111.0,3395548412.0
canada,4381035.0,89445.0,439478155.0,66752933.0,47356487.0,284495139.0,110389998.0,191792607.0,9258737.0,75194586.0,240631762.0,1025803.0,483961365.0,1650381698.0,3642.0,2508114824.0,886148983.0,92687031.0,508036365.0,122107152.0,22212957.0,95370829.0,1789277126.0,114499374512.0
denmark,5341921.0,1801779.0,142808753.0,61890567.0,0.0,265503350.0,44867072.0,939426039.0,828805.0,25881438.0,5337821.0,712214.0,62206803.0,143887.0,24544.0,755318629.0,2651732123.0,192187.0,49948175.0,2910774434.0,899178.0,15304582.0,372035788.0,763979503.0
finland,31104322.0,800444.0,726776658.0,285441156.0,294141075.0,0.0,105538073.0,513648399.0,250589.0,66323.0,1068944.0,1603007.0,7411528.0,723954.0,141.0,1000745791.0,1205130271.0,294929.0,24879101.0,3802742567.0,4887659.0,2163504.0,683621463.0,555711951.0
france,703275295.0,34653743.0,14282713936.0,169289202.0,29774411.0,137544421.0,33260950.0,5577287673.0,61042436.0,26059.0,179026912.0,12445147.0,3323217692.0,111280932.0,177306004.0,4433336604.0,2429333895.0,165559176.0,4365526034.0,409562240.0,1383132815.0,113560387.0,2663809072.0,4804876561.0
germany,1117339596.0,4403828121.0,6130498181.0,519659521.0,1051735515.0,497862398.0,2602048789.0,0.0,49060272.0,19011683.0,42720170.0,37759218.0,461264523.0,40222377.0,685756236.0,20633360175.0,4536243949.0,28840579.0,348563731.0,1211784268.0,3856698080.0,103064088.0,2877291224.0,4223957382.0
greece,485168.0,11507815.0,105471233.0,20796967.0,36661081.0,5606431.0,80987574.0,162978976.0,0.0,773373.0,74074647.0,586433640.0,1066791552.0,893602.0,2533796.0,104377761.0,16835759.0,60838937.0,632826723.0,154688083.0,14825325.0,1827941259.0,458711518.0,486620950.0
iceland,51153.0,539028.0,6646521.0,50892586.0,87639034.0,6130482.0,17883093.0,32458275.0,2914109.0,0.0,3267615.0,1620127.0,7175564.0,30048.0,509497.0,40771047.0,561866706.0,3426100.0,18642181.0,21465460.0,3239794.0,464674.0,61598558.0,216469491.0
