,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,173749510.0,175357396.0,236544677.0,230994424.0,66840520.0,175394109.0,309096874.0,890432992.0,34775748.0,1064037.0,9313359.0,156509099.0,647459136.0,2437395454.0,8743131.0,320322719.0,18457867.0,89235601.0,318835493.0,218648176.0,117910732.0,162530796.0,1104188449.0,2912360091.0
austria,225411298.0,0.0,956585053.0,374090523.0,284231151.0,314130549.0,2497360879.0,24397231196.0,154915712.0,93232888.0,80721965.0,111074084.0,5828053358.0,485072556.0,293073051.0,1286231376.0,392230145.0,183068636.0,891617767.0,859842562.0,2811156803.0,739812556.0,1179363311.0,2151142347.0
belgium,247346275.0,1310920004.0,0.0,946561698.0,475740885.0,1261330530.0,17519057394.0,22015856459.0,208562668.0,11566719.0,285781331.0,1648613693.0,4985293789.0,877557349.0,1621516999.0,13871616682.0,301263710.0,620139166.0,2621355074.0,1697780514.0,1072118542.0,2200805327.0,5988695431.0,4058453823.0
canada,269113133.0,324963337.0,1531451806.0,466035380.0,68554607.0,161617696.0,732210713.0,1751884998.0,39563168.0,52011137.0,65995577.0,298855325.0,1064495223.0,1809078705.0,111227853.0,1056073852.0,345821985.0,133939121.0,578858660.0,316384314.0,147558563.0,870798532.0,825968393.0,74876304173.0
denmark,63637035.0,281724041.0,516998059.0,46959140.0,0.0,588887531.0,647303702.0,5135915823.0,40948717.0,99599570.0,78773455.0,20242106.0,805168005.0,97553982.0,106896637.0,1152774339.0,1436834065.0,103335733.0,494736458.0,3282340525.0,95712699.0,173017735.0,1457224620.0,448136135.0
finland,146206362.0,193409358.0,966399540.0,95132171.0,439595319.0,0.0,695996462.0,5290224948.0,74570773.0,19479344.0,44709272.0,42391424.0,944403879.0,396808270.0,67378833.0,2473839734.0,651378654.0,72822406.0,690797582.0,2719036298.0,126026777.0,480235177.0,1356975816.0,1438972770.0
france,437589715.0,2431721665.0,13271713233.0,583575703.0,657946220.0,1048640386.0,1193836785.0,26401568743.0,570146829.0,102593196.0,306155917.0,472832642.0,15613125461.0,1083267712.0,1505046638.0,5003206157.0,748401848.0,2612718558.0,13337748720.0,1979338023.0,3392662907.0,2376686891.0,6512702337.0,6448355596.0
germany,965711118.0,23439788144.0,16694571099.0,1609536338.0,5192922176.0,6639767058.0,28298938755.0,0.0,1181505355.0,514220914.0,936984831.0,806004622.0,25085949163.0,3079525673.0,2967408134.0,22403516224.0,2619149714.0,2492629278.0,10736556367.0,9456106070.0,16193122092.0,6750316318.0,15103330803.0,18768725492.0
greece,25395242.0,179943538.0,203770428.0,46315547.0,47109340.0,99923818.0,593220555.0,1219098488.0,0.0,374252.0,9729523.0,212069482.0,1586097824.0,68703340.0,28658498.0,289430967.0,12414410.0,63491836.0,466412093.0,94684001.0,43684207.0,949924034.0,343166665.0,689435675.0
iceland,16478350.0,10946593.0,31284165.0,83368138.0,99497304.0,17949677.0,103087284.0,268925575.0,1076397.0,0.0,1315230.0,835131.0,95238130.0,30914986.0,6037895.0,1501192945.0,33980217.0,7961690.0,230169747.0,49619652.0,34147343.0,10350567.0,172304318.0,48939382.0
ireland,7220534.0,73863366.0,184669187.0,29150667.0,74325536.0,64338157.0,251835650.0,878633853.0,8525429.0,445415.0,6564509.0,12227664.0,206725474.0,119037524.0,17497243.0,257599879.0,13758546.0,87411448.0,283393628.0,174043627.0,33000365.0,158610554.0,4077693856.0,696202104.0
israel,129667000.0,113264000.0,3402896000.0,251112000.0,23842000.0,44635000.0,789244000.0,776495000.0,257574000.0,949000.0,12775000.0,0.0,657193000.0,348022000.0,17610000.0,184656000.0,10185000.0,65596000.0,381121000.0,76898000.0,1759242000.0,1569015000.0,730693000.0,8398421000.0
italy,702770436.0,6043301229.0,4704692359.0,872002027.0,847045440.0,1064487229.0,16970379943.0,28386333550.0,1666864542.0,75197808.0,264842848.0,686897199.0,0.0,1011154521.0,424397824.0,4610981433.0,337098981.0,1858824926.0,9195426925.0,2646507837.0,4607384239.0,4872271719.0,5242493143.0,7827878263.0
japan,2745884570.0,355918409.0,876717186.0,1418670352.0,95052989.0,842980447.0,957116971.0,2613686275.0,50489632.0,29525692.0,36600365.0,234904002.0,1017272875.0,0.0,76504698.0,725902845.0,411269252.0,86114792.0,316355596.0,485024485.0,231994692.0,447330439.0,1279624973.0,12303782160.0
luxembourg,8252692.0,178696858.0,1221021935.0,89274637.0,80521032.0,52801346.0,1478932014.0,2545541074.0,4885246.0,18619187.0,17505620.0,11864595.0,352113624.0,69924937.0,44706975.0,633773844.0,71666185.0,48258195.0,187143858.0,140762554.0,97237570.0,132880276.0,256710149.0,278362336.0
netherlands,428665559.0,1590294394.0,13083565191.0,473625588.0,1253669534.0,2542699873.0,6208699503.0,26126514844.0,333432866.0,1196834601.0,404139056.0,178264947.0,3984952890.0,607731731.0,919377089.0,0.0,2010057861.0,791372632.0,2531120581.0,2377191965.0,685950597.0,1566757650.0,5194653254.0,2907043813.0
norway,26018830.0,323028639.0,395489006.0,73757852.0,1200821975.0,773541731.0,470466367.0,2232963252.0,15000197.0,21564096.0,23489538.0,13502889.0,564864083.0,491008785.0,63681847.0,2906593308.0,0.0,123406429.0,594152640.0,3202819345.0,153742522.0,168645350.0,1188228676.0,782700044.0
portugal,88028708.0,238617918.0,687936593.0,153100994.0,135639760.0,109282451.0,3253106444.0,2845284575.0,71678594.0,4074247.0,131130158.0,70879748.0,1970026003.0,83169674.0,58061459.0,1017801203.0,67008267.0,0.0,9858340584.0,261862133.0,214706670.0,664600190.0,1326304531.0,1245785138.0
