,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,8543761.0,14161949.0,401765839.0,197510799.0,6596264.0,45233376.0,127054611.0,781424125.0,6966939.0,39175.0,5873805.0,6435338.0,228087224.0,6120107449.0,1490858.0,182689904.0,47526392.0,15894778.0,184144168.0,46100968.0,26901256.0,91511029.0,74936750.0,471026208.0
austria,19288561.0,0.0,115987147.0,40647738.0,42260067.0,76677352.0,216510628.0,3487838569.0,9200893.0,35186.0,13636945.0,20690576.0,1708339084.0,123809244.0,4252765.0,388982682.0,40401154.0,15271261.0,90261668.0,181582843.0,317790802.0,119086270.0,67058374.0,138145208.0
belgium,537212505.0,171747305.0,0.0,823409907.0,124915266.0,412613003.0,4455687601.0,4876858534.0,45347911.0,1079792.0,73454373.0,84147859.0,572732945.0,150887311.0,557390816.0,4842857270.0,75597979.0,70790188.0,649411959.0,479014595.0,96083813.0,948019954.0,855681111.0,1843029873.0
canada,650073737.0,5002691.0,512145469.0,35497487.0,30733567.0,423557413.0,744818640.0,659455049.0,52617244.0,4826757.0,27339025.0,13333157.0,299221675.0,3975091584.0,475705.0,733907007.0,1319791421.0,24814366.0,444378422.0,48010196.0,90844534.0,386401817.0,725376010.0,20552369530.0
denmark,2411346.0,27479889.0,126701736.0,30139128.0,0.0,144731619.0,142704855.0,1024985130.0,61489860.0,23036332.0,17670240.0,2738963.0,138066697.0,23751222.0,3494653.0,629027705.0,352438060.0,68585422.0,94663032.0,853975926.0,26579287.0,276930090.0,202917267.0,217824490.0
finland,82735953.0,71630641.0,175797519.0,411557406.0,122159929.0,0.0,339045798.0,789491397.0,48287991.0,3047261.0,145984651.0,112746304.0,365122257.0,420056101.0,1845943.0,544278445.0,262925910.0,197512588.0,222877640.0,1074414236.0,19329495.0,225116532.0,359164343.0,182023283.0
france,180690282.0,319501187.0,3159970229.0,829541312.0,152918791.0,419174705.0,145799967.0,3699031660.0,59094295.0,1880138.0,342133850.0,30396067.0,2073361735.0,136462552.0,382060183.0,1850499728.0,139925169.0,314012310.0,2483952514.0,405238502.0,478136013.0,354781648.0,556601249.0,932963505.0
germany,679415626.0,3592469333.0,3791435663.0,1450271858.0,1158065971.0,1025683372.0,4116039466.0,0.0,72132155.0,9917310.0,274726195.0,96658617.0,2955708809.0,584429363.0,834638250.0,8666297179.0,659814007.0,542822600.0,1274271109.0,2616843762.0,1550352936.0,575455774.0,1731312889.0,3946517028.0
greece,4248666.0,13153850.0,49546678.0,39396048.0,56456754.0,34654218.0,55166272.0,78352686.0,0.0,9505.0,3399432.0,77741933.0,218626049.0,11229892.0,151190.0,84560053.0,7812973.0,4044892.0,67189914.0,23959466.0,1396744.0,186337001.0,82196180.0,140914194.0
iceland,333853934.0,102668.0,603527.0,3134874.0,20234701.0,7168561.0,2724494.0,9020322.0,116.0,0.0,9881229.0,40519.0,685923.0,2285063.0,1523651.0,25822986.0,33195638.0,394586.0,17054220.0,9832063.0,397954.0,8335422.0,9058171.0,33543995.0
ireland,10883018.0,23282634.0,54266002.0,13361020.0,11061595.0,151241109.0,347540903.0,116444076.0,1726035.0,40643610.0,224449.0,1095584.0,66494062.0,15994435.0,1269230.0,323133009.0,148169048.0,51354392.0,87752696.0,120826089.0,1397966.0,14667401.0,939226188.0,103364844.0
israel,5885000.0,40271000.0,44670000.0,10908000.0,17157000.0,134906000.0,34745000.0,77318000.0,92207000.0,134000.0,758000.0,0.0,90790000.0,21014000.0,33000.0,155335000.0,893000.0,19897000.0,35150000.0,35102000.0,6650000.0,134116000.0,44702000.0,220136000.0
italy,267431695.0,1816273986.0,653262051.0,302119397.0,146659545.0,338111435.0,2292684790.0,3064253393.0,223664769.0,183389.0,62352258.0,77474648.0,0.0,141723249.0,14733893.0,1317655848.0,31194718.0,147460314.0,934584792.0,390372808.0,629882844.0,422496727.0,663851045.0,1832398852.0
japan,7572666483.0,146762954.0,152657446.0,4225655346.0,57244004.0,500256504.0,157015208.0,322622818.0,19545446.0,4738000.0,13702020.0,22740759.0,127229083.0,0.0,818433.0,231437688.0,24273815.0,23148247.0,220207235.0,286042858.0,15274766.0,112858437.0,207815417.0,5184259879.0
luxembourg,1474548.0,1084848.0,233212708.0,265242.0,25987357.0,40774.0,395489762.0,918377288.0,37267.0,591.0,425340.0,61285.0,8093325.0,885726.0,10591591.0,62033664.0,86315.0,3580764.0,5855930.0,1696298.0,13122196.0,849707.0,5703942.0,27708491.0
