Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,20521440186,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26632283516,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,417,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,90282,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,52887,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,404875,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,252,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,102841731,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,98292,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,359,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3312928,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,42,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,195945,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,60082050,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18655632,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22669819,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,28475139,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4350520,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2668699,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,472548,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,116,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,970613,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26803,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1636,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,200098,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,300,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1318805,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,65547390,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64096176,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6479,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,239155,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1335012,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10611380,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,119668,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,326931635,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32801571,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,644801,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32097144,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39954,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,4851965,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,708070,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1790,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30620,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12283,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,142800,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,122,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3194311,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,1104988738,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,566160884,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,136,Cayman Isds,CYM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,72711,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,383,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,93683720,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2078648,,,0
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,148,Chad,TCD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,196350,,,0
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,444228451,,,4
S4,2018,2018,2018,1,0,2,Export,484,Mexico,MEX,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,77772379,,,4
S4,2018,2018,2018,1,0,1,Import,484,Mexico,MEX,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,515474175,,,4
