Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,49633095728,,,4
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,74491426458,,,4
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1246532,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17969712,,,0
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,416875,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15888263,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7350,,,0
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1421955,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,176597763,,,0
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4942,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2739162,,,0
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4425,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64467273,,,0
S4,2018,2018,2018,1,0,1,Import,528,Netherlands,NLD,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12288,,,0
S4,2018,2018,2018,1,0,2,Export,528,Netherlands,NLD,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3388821,,,0
