Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5680427971,,,4
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12606740237,,,4
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4958,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2027,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,277825,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,97657,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,146763,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3692,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12927249,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3238,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,174325,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10279039,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,690370,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2466681,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,55874986,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20531700,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9457850,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1874,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13665,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3816769,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2091281,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,181686,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,496023,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,991599,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,163785532,,,0
S4,2018,2018,2018,1,0,2,Export,579,Norway,NOR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,109916454,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1131586,,,0
S4,2018,2018,2018,1,0,1,Import,579,Norway,NOR,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,847709,,,0
