Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18655489871,,,4
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,28251518004,,,4
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,531017,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4194217,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5267264,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,16025917,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,91928,,,4
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,112714,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,133642983,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5576,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20262,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,112,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,122,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4351832,,,4
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18425,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15407,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2745477,,,0
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10936162,,,0
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,568807870,,,4
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2882225,,,4
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5990286,,,4
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,70643053,,,4
S4,2018,2018,2018,1,0,1,Import,616,Poland,POL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,233476569,,,4
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,375479059,,,4
S4,2018,2018,2018,1,0,2,Export,616,Poland,POL,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1254896,,,0
