Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11092950856,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5673708125,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,24794,,,0
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12630,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4639642,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,21725,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14010727,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,197739,,,0
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11089070,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,324454281,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20028,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,730906,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57339488,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,555074,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2370626,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8921402,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14567581,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19254812,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,235810,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7908877,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,316562,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1284150,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,238308024,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,140826785,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38283,,,0
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,289836,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14953,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,397829,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,132,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,284008315,,,4
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,175132682,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3795436,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,40,,,4
S4,2018,2018,2018,1,0,1,Import,620,Portugal,PRT,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37675007,,,0
S4,2018,2018,2018,1,0,2,Export,620,Portugal,PRT,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6257866,,,4
