Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4206266235,,,4
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2742975807,,,4
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,47942,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,798277,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,438553,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,557589,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12197,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4879,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,277695,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,31998,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,312925,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10070982,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,106,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1425441,,,4
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1208053,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,162850865,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,232401250,,,4
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,89,,,4
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,90496,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,82947,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,41128,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,84031239,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29394703,,,4
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,110759,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,219518,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,31777,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5638954,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7278,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19548322,,,4
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,295889,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38300,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,36279,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15688187,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32462946,,,0
S4,2018,2018,2018,1,0,1,Import,703,Slovakia,SVK,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,518962,,,0
S4,2018,2018,2018,1,0,2,Export,703,Slovakia,SVK,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,45786,,,0
