Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,2417573156,,,4
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1436859468,,,4
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19186,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1911772,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6701834,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,160256,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,348641,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,172,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3307,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1174889,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9091056,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,59261,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1035049,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1178166,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,309638364,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,136883922,,,4
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,76559,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,69249,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7271,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,560895,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,44227445,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6064000,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,310,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,296606,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13492030,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,65902524,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,199812078,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26501,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20793,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,86,Br. Indian Ocean Terr.,IOT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15061,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7941925,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17401315,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,797,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,62,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,84436,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,388055,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3834876,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,21805,,,0
S4,2018,2018,2018,1,0,2,Export,705,Slovenia,SVN,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,332901,,,0
S4,2018,2018,2018,1,0,1,Import,705,Slovenia,SVN,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1984080,,,0
