Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32523989575,,,4
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,43789487487,,,4
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12069,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1168839,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7448232,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17469140,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32407790,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,254066638,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2303,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,52418,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,182445706,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22146969,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,22238005,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,102450,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,959725,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2413620,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1311475996,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33413384,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33197180,,,4
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,100047860,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,135276764,,,4
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,356012437,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1406570,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,113,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10910964,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2759523,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5134568,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38753,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2974059,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,359744,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,905644134,,,4
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,988262443,,,4
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,212460,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12188048,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4922450,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33512,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15243707,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,252351,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,82727,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1156836494,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,156159456,,,4
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,27826796,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14464,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2389053,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4400,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,54062,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,273571409,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,147980041,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7942178,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4541254,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,296090,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2305141,,,0
S4,2018,2018,2018,1,0,2,Export,724,Spain,ESP,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9406819,,,0
S4,2018,2018,2018,1,0,1,Import,724,Spain,ESP,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8321024,,,0
