Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14954577857,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8808684497,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,136952,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,575,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20445936,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,53754,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,160544,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,854655,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3453,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1495676,,,0
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33950,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,65264,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5358631,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,381918,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1498188,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,24503705,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,71294928,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,21093714,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,460,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,927977,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,163997,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,461456,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,51098,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1446181,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5269169,,,0
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,416481710,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,146143176,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,460,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10357,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,66070,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8246252,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2709460,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,230,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,134906719,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1397376,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6559,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,65609,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,920,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,35582267,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12079022,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,368274,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4040206,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1234987,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,752787,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5691114,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18877,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,29024671,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37245619,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6059274,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12546,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,23148038,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5174438,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,137041563,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,51174611,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,25641030,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,453169,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19449,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,23481,,,0
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,167910,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,56631,,,0
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,94025,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,127536,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20262489,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4274545,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15434404,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12549342,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,39136236,,,0
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4656349,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,40844341,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,108689217,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,204,Benin,BEN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,460,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,204,Benin,BEN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,205923,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1707052221,,,4
S4,2018,2018,2018,1,0,2,Export,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,933302841,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,212,Dominica,DMA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9437,,,4
S4,2018,2018,2018,1,0,1,Import,752,Sweden,SWE,214,Dominican Rep.,DOM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,18479002,,,4
