Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,9586144435,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6812445377,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,420741,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,839680,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,89703,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,704392,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15756201,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,16,American Samoa,ASM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,768,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4103,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,254873,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,624,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,421939,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,672,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1524165,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,432922,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,37424377,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,21606499,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,71215973,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,168713018,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,352559100,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,236352219,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,91611,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6592,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,420,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4272009,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4520039,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,320989,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20488,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,315667,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,162814870,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,183271362,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,60,Bermuda,BMU,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,44586,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2982,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5650498,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,459622,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6860185,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,532202,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,359063227,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,62462734,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,53269,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6628,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,213212,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8383418,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,6876517,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,206429,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1609557,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,167887,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3895869,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,779861,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,189059,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,459413,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1604473,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,120,Cameroon,CMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,644692,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,51630067,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,184866455,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,132,Cabo Verde,CPV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,58710,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,132,Cabo Verde,CPV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57810,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,136,Cayman Isds,CYM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1422,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,140,Central African Rep.,CAF,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,66369,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,19013480,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2052432,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,45811554,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8953602,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,126930424,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,193830251,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,139373207,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11650825,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57742,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,180487,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,178,Congo,COG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,13379,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,682974,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,180,Dem. Rep. of the Congo,COD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,83,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,87060774,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1282327,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5724396,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7739191,,,4
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3694114,,,4
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2234,,,0
S4,2018,2018,2018,1,0,1,Import,757,Switzerland,CHE,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2170723,,,0
S4,2018,2018,2018,1,0,2,Export,757,Switzerland,CHE,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3903818,,,4
