Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8804834166,,,4
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,14941217126,,,4
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,594071,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20330837,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3771296,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,33305494,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11791446,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,67558533,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,565500,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,155087306,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,92288,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1676615,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,124026567,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,228064666,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,5210274,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,97713032,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,109572954,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,62904743,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,92282353,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,522081,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,20238428,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,15288516,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,52,Barbados,BRB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,467927,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,69360189,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,143542520,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,64,Bhutan,BTN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10016,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,169008,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3276087,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57340849,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,38146199,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,72,Botswana,BWA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,366312,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,790608891,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,57144745,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,748049,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,64428,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,90,Solomon Isds,SLB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10516,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10675,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,174,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,96,Brunei Darussalam,BRN,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,209099,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,178007501,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,122590360,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1854321,,,0
S4,2018,2018,2018,1,0,2,Export,792,Turkey,TUR,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8419677,,,0
S4,2018,2018,2018,1,0,1,Import,792,Turkey,TUR,108,Burundi,BDI,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,91258,,,0
