Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,33484079965,,,4
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,13779894851,,,4
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,157763,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,682770,,,0
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,770160,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1852842,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,10,Antarctica,ATA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,211701,,,0
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3636622,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12361250,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30345,,,0
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2199107,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,10626514,,,0
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8707,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2034181,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,562836,,,0
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,663112369,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4835331,,,4
S4,2018,2018,2018,1,0,1,Import,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,115983079,,,0
S4,2018,2018,2018,1,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,334345702,,,4
