Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,,,119256463193,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,108087356647,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,4043790673,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,7957394,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,30415705,,,4
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11996313,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,11270184,,,0
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,107808,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,25100871,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,123634584,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,8089377,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3525,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,20,Andorra,AND,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,47148,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,80777,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,195428360,,,0
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,24,Angola,AGO,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,3500,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,61983,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,26542474,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,973371,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,737243,,,0
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1196838,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,25138,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1070280720,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,101402381,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1678398,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,2565142934,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1280411723,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,17161580,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,94453016,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,32441295,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,419393,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,56718628,,,4
S4,2018,2018,2018,1,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,242317826,,,4
S4,2018,2018,2018,1,0,3,Re-Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,12596469,,,0
S4,2018,2018,2018,1,0,1,Import,842,USA,USA,48,Bahrain,BHR,,,,,,,,0,Food and live animals,1,No Quantity,,,0,,0,,1444203,,,4
